gene	label	hf_class	protein_ids	phenotype_vec	pheno_cluster
IL2RA	0	unlabeled	['B2R9M9', 'H0Y5Z0', 'P01589', 'Q53FH4', 'Q5W005']	[0.1528458316959472, 1.0332965223138968, 0.4451372664031641]	6
BMP4	0	unlabeled	['A0A097PIE4', 'P12644', 'Q53XC5']	[0.4872690522607182, 1.0232485101354318, 1.04310054143006]	6
COA6	0	unlabeled	['Q5JTJ3']	[-0.336164384116406, 0.0960188104524961, -0.0620000153341557]	6
PLEKHM1	0	unlabeled	['A0A8V8TPW0', 'B4DR59', 'B4DRX1', 'Q9Y4G2']	[0.0738619453417654, 0.585767335282371, -0.5821071202017196]	6
HSPG2	0	unlabeled	['P98160']	[-0.1238439185792822, 0.3936573605304794, -0.5867701262022407]	6
OR10AG1	0	unlabeled	['A0A126GVM8', 'A0A2U3TZR9', 'Q8NH19']	[0.2818192762285978, 0.1996514975794424, -0.0709641400627248]	6
CAPNS2	0	unlabeled	['Q96L46']	[0.1281211593310424, -0.4828755926940601, 1.0516609329693574]	7
DPYSL4	0	unlabeled	['O14531', 'Q5T0Q6']	[-0.101915483863622, -0.0156988071913183, 0.8465143546930106]	7
RANBP3	0	unlabeled	['B7Z5P4', 'B7Z7F3', 'Q308M8', 'Q53GE1', 'Q9H6Z4']	[-0.1773482731690409, -0.1560262139072108, 0.9519234873315024]	7
POLR3GL	0	unlabeled	['A6NGX6', 'Q9BT43']	[0.1938953488360846, 0.133309360864772, 0.8506151361892099]	7
DECR1	0	unlabeled	['Q16698']	[-0.1327022716812182, -0.2817797955316395, 1.0245752981814542]	7
REC8	0	unlabeled	['A0A075B715', 'O95072']	[0.4699617276485551, -0.7112944703663174, 1.0445522954537485]	7
SRPK2	0	unlabeled	['A0A994J591', 'C9J2M4', 'H7C5L6', 'P78362']	[0.8719718023106637, 0.0900533269167234, 1.1255695228363092]	7
PLEKHA7	0	unlabeled	['A0A1B0GTN9', 'A0A8Q3WLI9', 'A0A8V8TMS3', 'E9PKC0', 'Q6IQ23']	[-0.0030073286029757, -0.1664172073428476, 0.754032942056968]	7
PCDHGA6	0	unlabeled	['Q59GD1', 'Q9Y5G7']	[0.1572865621937247, -0.2824648301020456, 1.1021860352557888]	7
PCDHB8	0	unlabeled	['B4DJM8', 'Q9UN66']	[-0.1049135022586519, -0.0536935957869859, 0.7301052945251074]	7
ZNF835	0	unlabeled	['Q9Y2P0']	[0.249315100073004, 0.0929316272567084, 0.592238406031555]	7
STK32A	0	unlabeled	['A0A3B3IS85', 'B4DR46', 'B7Z9H7', 'Q8WU08']	[0.3205814851679817, -0.3612467795946514, 0.7324478281444496]	7
RIT1	0	unlabeled	['Q92963']	[0.4131967097041817, -0.6111713355403121, 0.757779552254654]	7
PRR4	0	unlabeled	['Q16378']	[0.4832921892915722, -0.0200522262090492, 0.71079537622745]	7
NBPF1	0	unlabeled	['A0A8V8TNX8', 'A0AAG2SUX2', 'A0AAG2UWE3', 'A0AAG2UXD5', 'A0AAG2UXK7', 'A0AAG2UXY5', 'A0AAG2UYR2']	[0.2650640119529298, -0.3422635280422052, 0.5080458068667265]	7
TSPAN10	0	unlabeled	['A0A087X235', 'F1T0E8']	[0.300189713977121, -0.3264762893073629, 1.3086328958529083]	7
NPPB	0	unlabeled	['P16860']	[0.1609662505878918, -0.4001639648328725, 0.6564331504400862]	7
CRADD	0	unlabeled	['B4DJT6', 'B5BU44', 'F5H7C2', 'F8VV49', 'F8VVY5', 'P78560', 'Q53XL1']	[0.0681127142961716, -0.4939711457052319, 0.6786328969833508]	7
MMAA	0	unlabeled	['Q495G5', 'Q8IVH4']	[0.5967136123962288, -0.18853039174284, 0.5917331963440637]	7
S100A13	0	unlabeled	['Q99584']	[0.2720900167212833, -0.5601871392129159, 0.911581463707806]	7
KLHL8	0	unlabeled	['Q68DU9', 'Q9P2G9']	[0.4843630936235376, 0.691030469662052, 1.1333182503281327]	7
KRT12	0	unlabeled	['Q99456']	[0.4154363540350523, -0.1670807971869022, 1.073313383060133]	7
C16orf89	0	unlabeled	['A0A0A0MT71', 'Q6UX73']	[0.5021149341494409, -0.4019239369090388, 0.8156986269617887]	7
LENG9	0	unlabeled	['A0A087WVD1', 'Q96B70']	[0.0797185879986871, -0.0303171413436297, 0.7257184339705756]	7
FFAR2	0	unlabeled	['C6KYL4', 'O15552']	[0.5066477393443289, -0.2522174871478126, 0.4112262749616151]	7
RBL1	0	unlabeled	['P28749']	[0.4597367687503663, -0.2226991661646812, 0.6661696331922404]	7
FDX1	0	unlabeled	['P10109']	[0.3045281813251175, -0.3326910626043793, 0.6471722816701289]	7
DCAF4L2	0	unlabeled	['Q8NA75']	[-0.1371441099055897, -0.3975288859993429, 1.306531492669464]	7
TMEM52B	0	unlabeled	['Q4KMG9']	[0.0010673970525635, -0.5763669338874069, 0.938374549065086]	7
SYS1	0	unlabeled	['Q8N2H4']	[0.0254650673704759, -0.1617758706550834, 0.7029529644046184]	7
TACSTD2	0	unlabeled	['C5IX07', 'P09758']	[0.4726887052590473, -0.534046909403207, 1.3693127802654566]	7
VAPA	0	unlabeled	['Q9P0L0']	[0.3280470655819597, -0.2615875608307852, 0.4675603564810857]	7
MED17	0	unlabeled	['A0A384NYG5', 'Q9NVC6']	[0.7430829076730153, -0.5150710713291483, 0.8319644332999013]	7
OR4K1	0	unlabeled	['A0A126GVR2', 'Q8NGD4']	[0.7607965031105354, -0.7725551004269584, 0.7313557883607158]	7
SERPINB3	0	unlabeled	['P29508', 'Q5K634', 'Q5K684']	[0.0739518234481289, -0.2816186735383015, 0.7568660827328559]	7
NBL1	0	unlabeled	['A0A087WTY6', 'E5RFZ1', 'P41271']	[0.0142786211298583, -0.2925842338027861, 1.0638744646917715]	7
ZBTB9	0	unlabeled	['A0A1U9X8U5', 'B2R8Z7', 'Q96C00']	[0.2312509724041403, -0.819850012583509, 0.8412928033477691]	7
ZNG1A	0	unlabeled	['A0A087WWG3', 'A0A087WZQ3', 'A0A087X140', 'A0A0A0MRU4', 'A0A0B4J1T6', 'B7Z4F3', 'F2Z2T4', 'H0Y857', 'Q9BRT8', 'Q9H2J8']	[0.2127230005619713, 0.0489606836663841, 0.6350956174618395]	7
OR2A5	0	unlabeled	['A0A126GW49', 'B9EGX1', 'Q96R48']	[0.6847805055460944, -0.1143624977524977, 0.6910860993243908]	7
CPXM1	0	unlabeled	['Q96SM3']	[0.3248308715562734, 0.1405836118837911, 0.8648247272875813]	7
EXOSC5	0	unlabeled	['B2RC50', 'Q9NQT4']	[0.1385705825723345, -0.2589890249255775, 0.7188808101581772]	7
ART3	0	unlabeled	['A0A8V8TPP7', 'A0A8V8TQ78', 'B4DHX3', 'H0Y8V6', 'Q13508']	[0.2755173820853703, -0.2197067887138778, 0.8806820785466234]	7
CYLC1	0	unlabeled	['A0A087WXC8', 'P35663', 'Q3ZCV3']	[0.2843726473483081, -0.3592659734756482, 0.7917525498367266]	7
EPB41L5	0	unlabeled	['Q4ZG32', 'Q9HCM4']	[0.1017941686207954, -0.0378447428330213, 0.603728624600078]	7
RD3	0	unlabeled	['Q7Z3Z2']	[0.5561847938577352, -0.254340343071132, 0.696543536408855]	7
CHUK	0	unlabeled	['O15111', 'Q562E6', 'Q59GT1']	[0.3171709716118785, -0.7513278934845506, 0.6781759021649058]	7
ZFAND4	0	unlabeled	['A8K8Q5', 'B3KUL6', 'J3KPC0', 'Q86XD8']	[0.3866230810544183, 0.1439743049446673, 0.794354798652348]	7
C1QL3	0	unlabeled	['A0A3B0J0F3', 'A0ABB0MVI0', 'Q5VWW1']	[0.4147197305719873, -0.5372220655248457, 0.7214186566137715]	7
PI4K2B	0	unlabeled	['B3KY39', 'B4DJZ0', 'G5E9Z4', 'Q8TCG2']	[0.7095291532665037, -0.4331802587916946, 0.4995618913119275]	7
DHRS7	0	unlabeled	['Q659E8', 'Q9Y394']	[0.0040914775744668, -0.2279051069728584, 0.7339873258979606]	7
TP53I13	0	unlabeled	['Q8NBR0']	[0.1519286404709645, -0.3040184007797444, 0.4548145049658488]	7
RAB11FIP4	0	unlabeled	['Q86YS3']	[0.5939178838944855, -0.0922795224195872, 1.0164023861151057]	7
RFPL3	0	unlabeled	['O75679', 'Q6NSX6']	[-0.1544126002385464, -0.1142441329534764, 0.8345565849159626]	7
EFHC1	0	unlabeled	['A0A1B0GTB1', 'B2CKC5', 'Q5JVL4']	[0.2692257389593692, -0.0589143658595732, 0.5461960092238283]	7
OR56B1	0	unlabeled	['A0A126GVH9', 'Q8NGI3']	[0.1530371080056456, 0.2124462454605533, 0.7855104327189821]	7
TRIP11	0	unlabeled	['H0YJ97', 'Q15643']	[-0.0492926117524253, -0.205840637167621, 0.5146941903118202]	7
SOCS5	0	unlabeled	['B4DL10', 'O75159']	[0.2995666723126911, -0.4653450275269487, 0.5927096390132581]	7
SPINK13	0	unlabeled	['A0A9E8LN18', 'B5KFZ4', 'Q1W4C9']	[-0.168454220319123, 0.0907215091587567, 1.032979293535096]	7
NFIL3	0	unlabeled	['D9IVD5', 'Q16649']	[0.0529537024891727, 0.1603286559856282, 1.2161064856543655]	7
AMDHD1	0	unlabeled	['B3KVC5', 'Q96NU7']	[0.3437985008919165, 0.0711918421528848, 0.8868035388827964]	7
SYT8	0	unlabeled	['A0AA75HZC2', 'H0Y3G9', 'Q8NBV8']	[0.2704668068518093, -0.6174054035141225, 1.0589582956673669]	7
CR2	0	unlabeled	['P20023', 'Q5SR47']	[0.2653801613545667, -0.3853624406542302, 0.8945486539477001]	7
ITGBL1	0	unlabeled	['A0A087WY35', 'B4DN32', 'O14549', 'O95965']	[0.2648939071842582, 0.1194025282062349, 0.9362885939848388]	7
CKB	0	unlabeled	['A0A0S2Z471', 'P12277', 'V9HW77', 'V9HWH2']	[0.6922986264952881, -0.2804387202502522, 0.7833567121063818]	7
CASP7	0	unlabeled	['A0A0A0MRL7', 'A0A5F9ZHZ6', 'B4DUB5', 'B4DWA2', 'P55210']	[-0.0723045135452023, -0.1928383818376761, 0.8092167642635135]	7
BRD3	0	unlabeled	['Q15059']	[-0.1239371525798676, -0.0477973832667951, 0.715230049276139]	7
MRPS30	0	unlabeled	['Q53GN7', 'Q53H77', 'Q9NP92']	[-0.1858965905926626, -0.1533790904105262, 0.9632133381481692]	7
ADAMTS4	0	unlabeled	['A8K6A8', 'O75173']	[0.2985266026124044, -0.1663248695149357, 0.9168420821158654]	7
MINAR1	0	unlabeled	['H0YNN7', 'Q9UPX6']	[0.1135865194200585, -0.4712771407612043, 0.6285613581592675]	7
SGF29	0	unlabeled	['Q96ES7']	[0.1491439653084098, -0.2482158959339623, 0.6899086368611718]	7
IL1RL1	0	unlabeled	['E9PC41', 'Q01638']	[0.4425523749700409, -0.1611984736327246, 0.6452435824760312]	7
CDH6	0	unlabeled	['D6RF86', 'P55285']	[0.3265062400454181, -0.127410131770093, 0.4839557254813328]	7
FNBP1L	0	unlabeled	['Q5T0N5']	[0.0695184391329934, -0.3741827595225903, 0.5785357828608936]	7
GPR50	0	unlabeled	['Q13585']	[0.4678941538791541, -0.090026944848831, 0.3726499140585307]	7
MOBP	0	unlabeled	['A0A0S2Z3W1', 'Q13875']	[0.2060696278686148, 0.0040909272422668, 0.6493925785692839]	7
ARSD	0	unlabeled	['A0A140VK06', 'P51689']	[0.2077875974679052, -0.1223610959026113, 0.419169719335234]	7
GK2	0	unlabeled	['A0A140VKG0', 'Q14410']	[0.3992901879891393, -0.4536186782647895, 1.072300818336143]	7
PP2D1	0	unlabeled	['A8MPX8']	[0.1043688138695362, -0.3674068240105791, 0.745176598377526]	7
ZHX1	0	unlabeled	['A8K0G7', 'Q9UKY1']	[-0.0271107260913936, -0.3518414654365466, 0.8047550989435102]	7
EIF2A	0	unlabeled	['F8WAE5', 'H7C5R5', 'Q9BY44']	[0.1655172881519958, -0.3033435011079587, 0.4669402155370868]	7
OR9K2	0	unlabeled	['A0A126GW01', 'A0A286YF25', 'Q8NGE7']	[0.1009810616921771, -0.4804213176018324, 0.8978596261789427]	7
HJURP	0	unlabeled	['C9JWC4', 'Q8NCD3']	[0.0997637568475757, -0.1571377884074299, 0.4835153198171718]	7
NR2F2	0	unlabeled	['F1D8R0', 'F1DAL8', 'P24468']	[0.3720548926761825, -0.294298724550332, 0.641158993944692]	7
PGAP2	0	unlabeled	['A0A024RCD5', 'A0A0A0MS75', 'A0A0S2Z568', 'A8MYS5', 'B7Z2X5', 'E9PQ19', 'H0YDC6', 'H0YDJ5', 'H0YDQ4', 'Q9UHJ9']	[0.2350322231491024, -0.2947884077267664, 1.1472890575932897]	7
DENND2A	0	unlabeled	['A2RUF6', 'F8WAT8', 'Q9ULE3']	[-0.1116815417660421, -0.0626953120070759, 0.755583351107501]	7
SMURF2	0	unlabeled	['Q9HAU4']	[0.4083279906579131, 0.1982364974959408, 0.6572965489277631]	7
CAMTA1	0	unlabeled	['A0A0C4DGL0', 'A0A8V8TPQ2', 'A0A8V8TQ65', 'A0A8V8TQ84', 'A0A8V8TQ87', 'A0A8V8TQA4', 'A0A8V8TQX9', 'A0A8V8TR82', 'A0AA34QVU6', 'A0AA34QVZ9', 'B4DXR3', 'G3V297', 'H0YJV1', 'Q9Y6Y1']	[0.307212063285433, -0.4796736622093179, 0.829099462980364]	7
GCNT4	0	unlabeled	['Q9P109']	[0.1614021816070405, -0.1558492752023103, 0.5482791700869875]	7
RHPN1	0	unlabeled	['A0AAQ5BIJ1', 'Q8TCX5']	[0.1086139344721307, -0.0795652273772557, 0.6721130443180718]	7
DGKE	0	unlabeled	['A1L4Q0', 'P52429', 'Q59FU4']	[0.60626519114578, 0.0024849986480741, 0.7611888186239555]	7
INTS13	0	unlabeled	['H0YH12', 'Q9NVM9']	[0.0569438625433444, -0.4026201171522314, 0.7624878766862333]	7
GNAQ	0	unlabeled	['A0A024R240', 'G9FP35', 'P50148']	[0.8941951188920272, -0.331343190266096, 0.9106379824597208]	7
LMTK3	0	unlabeled	['A0A3B3ISL5', 'A0A5F9ZH67', 'Q96Q04']	[0.506809439144426, -0.6381718209478768, 0.6442650829288732]	7
RBM23	0	unlabeled	['A0A0S2Z5D9', 'A0A0S2Z5I1', 'A0A0S2Z5J3', 'B2RDP1', 'B3KWQ8', 'B7Z8M4', 'G3XAP0', 'Q86U06']	[-0.1317880556861912, 0.3167072336095613, 1.0613969316571563]	7
FSTL1	0	unlabeled	['Q12841']	[0.0719793656426624, -0.1748268701523243, 1.0469040980408888]	7
MLEC	0	unlabeled	['F5GX14', 'F5H1S8', 'Q14165']	[-0.144475130288667, -0.2608263761922603, 1.02190854250523]	7
C2CD2L	0	unlabeled	['O14523']	[0.0519223910604789, -0.5610298029381873, 0.7835793576778476]	7
COX8C	0	unlabeled	['Q7Z4L0']	[0.5142388586220815, -0.3901165227601316, 0.5511712809180401]	7
ATRAID	0	unlabeled	['Q6UW56']	[0.3592438485688791, -0.15333699694993, 0.6647380439484112]	7
LRBA	0	unlabeled	['A0A494BZW2', 'A0A494C1L5', 'A0A8V8TKR0', 'A0A8V8TLZ6', 'E9PEM5', 'P50851', 'Q68D03']	[0.4923309646220724, 0.0446031976324245, 0.7560898856725746]	7
CCDC3	0	unlabeled	['Q9BQI4']	[0.5121320664857676, -0.3982286452499857, 0.9722389943435644]	7
RRM2B	0	unlabeled	['H0YAV1', 'Q6AI41', 'Q7LG56']	[0.3263350287284149, -0.0501188191249806, 0.5821569287304618]	7
TSC22D2	0	unlabeled	['O75157']	[0.4949549982401586, -0.1475419761348759, 0.4265703038868599]	7
RAB41	0	unlabeled	['Q5JT25']	[0.5456123992002629, 0.5363447275316857, 1.3222252541411406]	7
NAA16	0	unlabeled	['A4FU51', 'Q6N069']	[0.0144724173063686, -0.2040075382152836, 0.5955400580345209]	7
SLC11A1	0	unlabeled	['B4DQ73', 'B4E0J2', 'P49279']	[0.0861610703820295, -0.1891680653080636, 0.5750037551354268]	7
MGA	0	unlabeled	['A0A8C8P5L8', 'A0A994J6L2', 'Q8IWI9']	[0.0537181416563941, -0.3291971821799989, 0.977432799318926]	7
ZSCAN26	0	unlabeled	['A0A024RCN4', 'A0A087X2F1', 'B4DMT1', 'Q16670']	[0.091537199262892, -0.2453072914842709, 0.5490129926486894]	7
FOXC1	0	unlabeled	['A0AAU7P1G8', 'Q12948', 'W6CJ52']	[-0.0328598528341183, -0.3463801393175474, 0.7233990414612889]	7
TMEM106A	0	unlabeled	['B7Z779', 'K7ERE2', 'Q96A25']	[0.263990306884088, -0.4989683298168508, 0.9444312350767704]	7
MMS19	0	unlabeled	['H0Y746', 'Q96T76']	[0.5000163262773204, -0.4209332048767368, 0.830251394533166]	7
HEBP2	0	unlabeled	['Q05DB4', 'Q5THN1', 'Q9Y5Z4']	[0.5481978073300721, 0.050042673060637, 0.638748398601275]	7
FXYD7	0	unlabeled	['P58549']	[-0.0158213172730741, -0.2955194089934584, 0.878600471631215]	7
REEP3	0	unlabeled	['A8K1R1', 'Q6NUK4', 'X5DP57', 'X5DR89']	[0.3306919623012839, 0.2092549058617532, 0.7338440918396898]	7
GNGT2	0	unlabeled	['O14610']	[0.0466333972183493, 0.0363398029354984, 0.6209227044757046]	7
TDRD7	0	unlabeled	['A0A384P5M7', 'Q8NHU6']	[0.0499620160023026, -0.1983049386176354, 0.6383034345320171]	7
FAAH2	0	unlabeled	['B2C6G4', 'Q6GMR7']	[-0.2780342214289866, -0.031287229258328, 0.9516275915034648]	7
STAM2	0	unlabeled	['O75886']	[0.2973483163918688, -0.344789210547581, 0.5398506579992578]	7
RNASEH1	0	unlabeled	['B3KUD4', 'E5KN15', 'O60930']	[0.0572946751259849, -0.0902304559833153, 0.6187247384892478]	7
UBE2Q1	0	unlabeled	['A7MAV4', 'Q7Z7E8']	[-0.0172037886623888, -0.2325290442193593, 0.7014831738528082]	7
PIGX	0	unlabeled	['A0A1X7SBT4', 'H0Y2P9', 'Q8TBF5']	[0.4666272952238655, 0.127447285997445, 0.858122981617435]	7
ZC3H12A	0	unlabeled	['A0A1W2PQC8', 'B3KSD3', 'Q5D1E8']	[0.0726565364559107, -0.4410715595698262, 0.5179508912244928]	7
DYNLT2	0	unlabeled	['Q8IZS6']	[0.0480354975044209, 0.0032713048130759, 0.7795066782004265]	7
MBTPS1	0	unlabeled	['B4DR21', 'Q14703']	[0.2421789618943587, 0.0595637820096146, 0.7337228399449776]	7
KASH5	0	unlabeled	['M0QZW6', 'Q8N6L0']	[-0.0144028127499289, -0.2170816751359559, 0.6756989930743997]	7
CLCN5	0	unlabeled	['A8K4H5', 'P51795', 'V9GYG7']	[-0.0693710664979144, -0.3017650476552675, 0.76157161710387]	7
ANKHD1	0	unlabeled	['Q8IWZ3']	[0.3063103027529034, -0.1574338580797301, 0.7410678965093589]	7
DUSP9	0	unlabeled	['B2RAL9', 'Q99956']	[0.3100332317746465, -0.2053610470750399, 0.8183873112629075]	7
SLC25A35	0	unlabeled	['Q3KQZ1']	[0.4904558772495818, -0.6373152240496565, 0.659859913898147]	7
GZMH	0	unlabeled	['P20718']	[0.2997147845270007, -0.3482240367570266, 0.7152147786906481]	7
CLEC5A	0	unlabeled	['A4D1U7', 'C9JPR7', 'Q14DL9', 'Q9NY25']	[0.2063517281537327, -0.3046335617342585, 1.010669860020082]	7
GAL3ST1	0	unlabeled	['B2R7S4', 'Q99999']	[0.0595928379829735, -0.432270520001938, 0.6467129776340675]	7
PMM2	0	unlabeled	['A0A0S2Z4J6', 'A0A291FGD1', 'B2R6D4', 'B7Z6A1', 'O15305']	[0.2536166146393794, -0.6095344476648707, 0.851564018627339]	7
DHX29	0	unlabeled	['Q7Z478']	[-1.2555513330303911, -0.5011378589134843, -1.2993410122367948]	8
RPL9	0	unlabeled	['D6RAN4', 'P32969', 'Q53Z07']	[-1.5999679272499916, -1.566171553932687, -1.2156431844295172]	8
RBM39	0	unlabeled	['A0A384NQ03', 'B4DRA0', 'B4E1M7', 'G3XAC6', 'Q14498', 'Q6MZY7', 'Q6N037', 'Q7Z3L0']	[-1.7175571750873655, -1.1466424262125154, -1.7147997687032048]	8
CHMP2A	0	unlabeled	['M0R1T5', 'O43633']	[-1.0522651111031671, -1.710335269230677, -1.6521175492743203]	8
ZNF138	0	unlabeled	['A0A0A0MRG3', 'A0A0A0MT90', 'A2RRP7', 'C9JHF6', 'E7EWC5', 'J3QSS9', 'P52744']	[-0.8509286187320722, -1.682980647762606, -0.4044651089078781]	8
PASD1	0	unlabeled	['Q8IV76']	[-0.4616068305034595, -0.536466777859194, -1.164930873640226]	8
CCNK	0	unlabeled	['O75909']	[-0.7850112665267164, -1.0548938440476678, -0.6729011248030613]	8
PREPL	0	unlabeled	['Q4J6C6']	[-0.2736263234783744, -1.2497722009450682, -1.0751304034691571]	8
KIF11	0	unlabeled	['B2RAM6', 'P52732']	[-0.4197377269829134, 0.036158599758578, -2.201432647386902]	8
FOXN3	0	unlabeled	['O00409']	[-0.670774855800085, -1.6690182225434698, -0.6728720856064687]	8
ALDH18A1	0	unlabeled	['P54886']	[-1.2417253388075289, -1.6557120578035616, -0.9748630816688088]	8
PDCD5	0	unlabeled	['O14737']	[-1.4044993254044609, -1.5244209335950851, -1.489985685275721]	8
RPL35A	0	unlabeled	['C9K025', 'P18077']	[-1.6579156907528902, -2.189640431199148, -1.3877294571999472]	8
MAGI2	0	unlabeled	['A0A0D9SEY4', 'B7Z4H4', 'Q86UL8']	[-1.2426430979247864, -1.4736391555178912, -0.4834736602268445]	8
USPL1	0	unlabeled	['A8K1B1', 'B3KQ64', 'Q5W0Q7']	[-0.7691800101721042, -1.235898630879162, -1.2555587364889398]	8
RPL8	0	unlabeled	['E9PKU4', 'P62917']	[-1.8766504443574024, -0.602347480958304, -1.3916609930239392]	8
GOSR1	0	unlabeled	['A8K5R6', 'E9PCW1', 'K7EJC8', 'O95249']	[-0.4502271074435305, -1.3066084359697512, -0.6939188290336067]	8
RPL5	0	unlabeled	['A2RUM7', 'P46777', 'Q59GX9']	[-2.370458736587498, -2.241073687380356, -0.9103929279290516]	8
RPS3A	0	unlabeled	['A8K4W0', 'P61247', 'Q6NXR8', 'H0Y9Y4']	[-0.926683615692986, -1.26083305893096, -1.2655051231329564]	8
SP1	0	unlabeled	['P08047']	[-0.3616876127978561, -1.519555409611962, -0.6919567417200458]	8
APOC1	0	unlabeled	['K7EPF9', 'K7ERI9', 'P02654']	[-1.0140160137148313, -1.184745539081444, -0.5842743860587672]	8
ZNF524	0	unlabeled	['Q96C55']	[-0.8408302188037957, -1.776404038492489, -0.4289579511799254]	8
TGM7	0	unlabeled	['Q96PF1']	[-1.3138631561044694, -2.1037577787230735, -0.6865798819309686]	8
ABCC1	0	unlabeled	['A0A0A0MS99', 'A0A7I2V2E0', 'I3L4X2', 'P33527', 'Q9UQ98']	[-0.7020042080277662, -1.225702051593088, -0.7517201646434837]	8
ISY1	0	unlabeled	['Q9ULR0']	[-1.3589113563269328, -0.5719622695422367, -0.7256039189046217]	8
FMOD	0	unlabeled	['A0A024R971', 'B4E1J3', 'Q06828']	[-2.218942270908241, -1.393756664062776, -1.76582895240011]	8
DEFB131A	0	unlabeled	['P59861']	[-0.793059362380818, -1.4555263749658711, -1.734449682235481]	8
C1QC	0	unlabeled	['A0A024RAA7', 'A0A8Q3SIZ0', 'P02747']	[-1.3824932233554, -0.6988784992396384, -0.8124409083070019]	8
CD27	0	unlabeled	['P26842']	[1.0507298570976644, 1.1785095637335123, -1.434209559442682]	9
MGMT	0	unlabeled	['B4DEE8', 'P16455']	[0.4429775514824836, 0.938719580690774, 0.3888674588372957]	9
RPRM	0	unlabeled	['Q9NS64']	[0.6573730289486057, 1.5702586924775024, 0.9485226890252776]	9
LPP	0	unlabeled	['B7Z871', 'B7Z8W0', 'B7ZLW0', 'C9JUT4', 'Q93052']	[1.0250895010034853, 0.7636100157223182, -0.0846318643699292]	9
SLC9A5	0	unlabeled	['Q14940']	[0.5535282312232762, 1.0698126990053225, -0.2508290095633911]	9
TENT5C	0	unlabeled	['Q5VWP2']	[0.1038488907309136, 1.5290005968064238, 0.4324057723454912]	9
TST	0	unlabeled	['A0A384NKQ2', 'Q16762', 'Q53EW8']	[1.0456011066749529, 0.7066494332345737, -0.6127236509228442]	9
SDHAF3	0	unlabeled	['Q9NRP4']	[0.5144240374104172, 1.0114914046044872, 0.5363960829415517]	9
UBALD2	0	unlabeled	['Q8IYN6']	[0.8038184067617369, 1.0427951787831795, -0.019109950858293]	9
MOCS2	0	unlabeled	['E9PKT9', 'O96007', 'O96033']	[2.631529048710707, 0.7049077889431679, -0.580369553094096]	9
GCA	0	unlabeled	['B7Z322', 'H7BXD5', 'H7C2Z6', 'P28676']	[0.9551090160459448, 1.014802730660307, 0.6114763726496311]	9
RSPO2	0	unlabeled	['B3KVP3', 'Q6UXX9']	[0.9869597817787022, 0.7178756543464444, -0.4235663176573463]	9
TAF15	0	unlabeled	['Q92804']	[0.9261026080512368, 0.6024108116567763, -0.1695995674861677]	9
ZC3H18	0	unlabeled	['B4DTK7', 'E7ERS3', 'Q86VM9']	[1.343124362699048, 0.9275391584161512, -0.5457375484172768]	9
ZBTB40	0	unlabeled	['F8WAI8', 'Q1RMZ5', 'Q9NUA8']	[-0.0970235655118861, 1.858252616395188, 1.0973581575081628]	9
NCBP2	0	unlabeled	['C9JQX9', 'F6WVI0', 'P52298']	[0.5932297863276541, 1.4633656576216312, -0.2733653923872822]	9
S100PBP	0	unlabeled	['A0A0S2Z5M0', 'A0A0S2Z5S2', 'Q96BU1']	[1.5972585300053113, 1.164082836755375, 0.8078020383358178]	9
ELN	0	unlabeled	['A7L3I8', 'B3KRT8', 'B4E3S4', 'E7EN65', 'E7ENM0', 'G3V0G6', 'G5E950', 'P15502', 'Q8NBI4']	[0.2987610971931097, 0.6538881927926644, -0.4781778125192842]	9
GLIPR1	0	unlabeled	['B4E3S5', 'P48060']	[0.3972334280801648, 4.503851778938132, 0.5412328727595519]	9
