Name	UniProt_IDs	dIntensity_cPathogen_eMean_oVoronoiCells_nZScore	dIntensity_cLatePathogen_eMean_oVoronoiCells_nZScore	eCount_oCells_nZScore
LONRF1	Q17RB8	0.09895862806093014	-0.10613812563079261	0.5470945434600063
LONRF2	B7ZKY9	0.3073089018300421	-0.2384776860724995	-0.9020432093497842
LONRF2	Q1L5Z9	0.3073089018300421	-0.2384776860724995	-0.9020432093497842
LONRF3	A8K2D3	-0.9454976955624869	-1.6033800209902263	0.6082662183634272
LONRF3	B3KUN7	-0.9454976955624869	-1.6033800209902263	0.6082662183634272
LONRF3	Q496Y0	-0.9454976955624869	-1.6033800209902263	0.6082662183634272
LORICRIN	P23490	-0.2754475604708717	-0.33187191640605934	-0.4074819658735329
LORICRIN	Q6FHY3	-0.2754475604708717	-0.33187191640605934	-0.4074819658735329
LOX	B0AZT2	-0.542383666656698	-0.2531191133515537	0.9881285891693128
LOX	B7ZAJ4	-0.542383666656698	-0.2531191133515537	0.9881285891693128
LOX	D0PNI2	-0.542383666656698	-0.2531191133515537	0.9881285891693128
LOX	P28300	-0.542383666656698	-0.2531191133515537	0.9881285891693128
LOX	Q96PQ9	-0.542383666656698	-0.2531191133515537	0.9881285891693128
LOXL1	H3BUV8	-0.08060641630909306	-0.19932611045222481	-0.3509118495076293
LOXL1	Q08397	-0.08060641630909306	-0.19932611045222481	-0.3509118495076293
LOXL2	Q9Y4K0	-0.0782039741139097	-0.35372944351648183	0.4731403207973901
LOXL2	W8QRJ0	-0.0782039741139097	-0.35372944351648183	0.4731403207973901
LOXL3	B9A025	-0.6991508027544088	-0.4389912371285477	1.0787538167808741
LOXL3	E7END4	-0.6991508027544088	-0.4389912371285477	1.0787538167808741
LOXL3	P58215	-0.6991508027544088	-0.4389912371285477	1.0787538167808741
LOXL4	Q96JB6	1.526579611981639	0.5080295344538811	0.7749092277803468
LPA	P08519	0.5983243162183175	0.41468628148110515	0.30803991865682767
LPA	Q1HP67	0.5983243162183175	0.41468628148110515	0.30803991865682767
LPAR1	B4DQ18	0.01968727044286528	-0.31132959423327167	-0.48346979239034515
LPAR1	Q5VZX0	0.01968727044286528	-0.31132959423327167	-0.48346979239034515
LPAR1	Q6GPG7	0.01968727044286528	-0.31132959423327167	-0.48346979239034515
LPAR1	Q92633	0.01968727044286528	-0.31132959423327167	-0.48346979239034515
LPAR2	B2RE65	0.09646097853826831	-0.22577805802490392	0.7494791984718425
LPAR2	B3KVP9	0.09646097853826831	-0.22577805802490392	0.7494791984718425
LPAR2	Q9HBW0	0.09646097853826831	-0.22577805802490392	0.7494791984718425
LPAR3	Q9NRB8	0.7724784824455244	-0.24034307290976584	0.593248366770545
