Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
REACTOME_PATHWAY,Eukaryotic Translation Initiation,7,213,105,10908,0.0165,0.0487,3.41,1.0,0.033,0.00444,R-HSA-72613~Eukaryotic Translation Initiation,"EIF2B3,RPL11,EIF3G,RPL38,RPS27A,UBA52,EIF4G1",Protein & RNA homeostasis,1.3124710387853658
REACTOME_PATHWAY,Cap-dependent Translation Initiation,7,213,105,10908,0.0165,0.0487,3.41,1.0,0.033,0.00444,R-HSA-72737~Cap-dependent Translation Initiation,"EIF2B3,RPL11,EIF3G,RPL38,RPS27A,UBA52,EIF4G1",Protein & RNA homeostasis,1.3124710387853658
GOTERM_BP_DIRECT,mitotic cell cycle,7,245,137,16251,0.0174,0.237,3.39,1.0,0.227,0.00476,GO:0000278~mitotic cell cycle,"PBRM1,SNX18,CLTC,CKAP5,RAN,AURKA,TUBA8",,0.6252516539898961
REACTOME_PATHWAY,Regulation of BACH1 activity,3,213,11,10908,0.0184,0.0541,13.97,1.0,0.0366,0.00108,R-HSA-9708530~Regulation of BACH1 activity,"RPS27A,UBA52,RBX1",Cell signaling,1.2668027348934305
REACTOME_PATHWAY,Josephin domain DUBs,3,213,11,10908,0.0184,0.0541,13.97,1.0,0.0366,0.00108,R-HSA-5689877~Josephin domain DUBs,"RAD23A,RPS27A,UBA52",Ubiquitin-mediated protein degradation,1.2668027348934305
REACTOME_PATHWAY,Formation of annular gap junctions,3,213,11,10908,0.0184,0.0541,13.97,1.0,0.0366,0.00108,R-HSA-196025~Formation of annular gap junctions,"CLTC,ACTB,ACTG1",,1.2668027348934305
GOTERM_BP_DIRECT,protein modification process,5,245,68,16251,0.0191,0.258,4.88,1.0,0.246,0.0036,GO:0036211~protein modification process,"DUSP12,PRKDC,UBE2D3,UBA52,UBE2L3",,0.5883802940367698
REACTOME_PATHWAY,Cellular response to starvation,8,213,140,10908,0.0194,0.0568,2.93,1.0,0.0384,0.00613,R-HSA-9711097~Cellular response to starvation,"SEH1L,RPL11,RPL38,ATP6V1E1,RPS27A,UBA52,MTOR,ATP6V1F",Autophagy,1.245651664288981
REACTOME_PATHWAY,Dengue Virus Genome Translation and Replication,6,213,81,10908,0.0206,0.0596,3.79,1.0,0.0403,0.00497,R-HSA-9918487~Dengue Virus Genome Translation and Replication,"EIF4A3,RRBP1,RPS27A,UBA52,IPO7,EIF4G1",Immune response & host–pathogen interactions,1.2247537402597635
REACTOME_PATHWAY,Transport of Mature Transcript to Cytoplasm,6,213,81,10908,0.0206,0.0596,3.79,1.0,0.0403,0.00497,R-HSA-72202~Transport of Mature Transcript to Cytoplasm,"NXF1,NXT1,SEH1L,EIF4A3,NUP43,THOC6",Protein & RNA homeostasis,1.2247537402597635
REACTOME_PATHWAY,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),6,213,81,10908,0.0206,0.0596,3.79,1.0,0.0403,0.00497,R-HSA-975956~Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),"UPF1,RPL11,RPL38,RPS27A,UBA52,EIF4G1",Protein & RNA homeostasis,1.2247537402597635
GOTERM_BP_DIRECT,regulation of protein neddylation,3,245,15,16251,0.0207,0.274,13.27,1.0,0.262,0.00135,GO:2000434~regulation of protein neddylation,"COPS3,COPS6,COPS7A",,0.562249437179612
GOTERM_BP_DIRECT,Arp2/3 complex-mediated actin nucleation,3,245,15,16251,0.0207,0.274,13.27,1.0,0.262,0.00135,GO:0034314~Arp2/3 complex-mediated actin nucleation,"ARPC2,ARPC3,ARPC1A",,0.562249437179612
REACTOME_PATHWAY,Neutrophil degranulation,17,213,471,10908,0.0214,0.0617,1.85,1.0,0.0417,0.0108,R-HSA-6798695~Neutrophil degranulation,"CCT2,PSMD12,PSMD11,PSMD14,PSMD13,DYNLL1,APRT,RAB10,PSMB7,PSMD6,PGRMC1,PSMD7,PSMA2,PSMC2,PSMD3,PSMB1,PSMD1",Immune response & host–pathogen interactions,1.2097148359667584
REACTOME_PATHWAY,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,6,213,82,10908,0.0216,0.0622,3.75,1.0,0.042,0.00528,R-HSA-9954716~ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,"RPL11,UBE2D3,UBE2D1,RPL38,RPS27A,UBA52",Protein & RNA homeostasis,1.2062096153091812
REACTOME_PATHWAY,Gap junction degradation,3,213,12,10908,0.0218,0.0625,12.8,1.0,0.0423,0.00142,R-HSA-190873~Gap junction degradation,"CLTC,ACTB,ACTG1",,1.2041199826559248
REACTOME_PATHWAY,Unwinding of DNA,3,213,12,10908,0.0218,0.0625,12.8,1.0,0.0423,0.00142,R-HSA-176974~Unwinding of DNA,"MCM4,MCM6,MCM2",,1.2041199826559248
GOTERM_BP_DIRECT,base-excision repair,4,245,40,16251,0.022,0.287,6.63,1.0,0.274,0.00301,GO:0006284~base-excision repair,"FEN1,WRN,SET,RPA2",,0.5421181032660077
REACTOME_PATHWAY,TNF signaling,5,213,56,10908,0.0232,0.0662,4.57,1.0,0.0448,0.00461,R-HSA-75893~TNF signaling,"UBE2D3,UBE2D1,RPS27A,UBA52,UBE2L3",,1.1791420105603
GOTERM_BP_DIRECT,ubiquitin-dependent protein catabolic process via the C-end degron rule pathway,3,245,16,16251,0.0235,0.3,12.44,1.0,0.287,0.00164,GO:0140627~ubiquitin-dependent protein catabolic process via the C-end degron rule pathway,"PRAME,ELOC,RBX1",,0.5228787452803376
GOTERM_BP_DIRECT,mitotic sister chromatid cohesion,3,245,16,16251,0.0235,0.3,12.44,1.0,0.287,0.00164,GO:0007064~mitotic sister chromatid cohesion,"NAA50,DSCC1,ESCO2",,0.5228787452803376
REACTOME_PATHWAY,Regulation of necroptotic cell death,4,213,32,10908,0.0237,0.0671,6.4,1.0,0.0454,0.00331,R-HSA-5675482~Regulation of necroptotic cell death,"PDCD6IP,RPS27A,UBA52,UBE2L3",,1.173277479831008
REACTOME_PATHWAY,Downregulation of SMAD2/3:SMAD4 transcriptional activity,4,213,32,10908,0.0237,0.0671,6.4,1.0,0.0454,0.00331,R-HSA-2173795~Downregulation of SMAD2/3:SMAD4 transcriptional activity,"UBE2D3,UBE2D1,RPS27A,UBA52",,1.173277479831008
REACTOME_PATHWAY,RIPK1-mediated regulated necrosis,4,213,32,10908,0.0237,0.0671,6.4,1.0,0.0454,0.00331,R-HSA-5213460~RIPK1-mediated regulated necrosis,"PDCD6IP,RPS27A,UBA52,UBE2L3",,1.173277479831008
REACTOME_PATHWAY,Iron uptake and transport,5,213,57,10908,0.0246,0.0691,4.49,1.0,0.0467,0.00498,R-HSA-917937~Iron uptake and transport,"STEAP3,ATP6V1E1,RPS27A,UBA52,ATP6V1F",Other,1.1605219526258017
REACTOME_PATHWAY,tRNA processing in the nucleus,5,213,57,10908,0.0246,0.0691,4.49,1.0,0.0467,0.00498,R-HSA-6784531~tRNA processing in the nucleus,"SEH1L,RPP21,NUP43,RAN,RTRAF",,1.1605219526258017
REACTOME_PATHWAY,Regulation of PLK1 Activity at G2/M Transition,6,213,85,10908,0.0248,0.0694,3.61,1.0,0.047,0.00628,R-HSA-2565942~Regulation of PLK1 Activity at G2/M Transition,"HAUS4,RPS27A,DYNLL1,CKAP5,UBA52,AURKA",Cell cycle & mitosis,1.158640529545145
REACTOME_PATHWAY,Inhibition of replication initiation of damaged DNA by RB1/E2F1,3,213,13,10908,0.0255,0.071,11.82,1.0,0.048,0.00182,R-HSA-113501~Inhibition of replication initiation of damaged DNA by RB1/E2F1,"POLA2,PPP2R1B,PRIM1",DNA replication & repair,1.1487416512809248
REACTOME_PATHWAY,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,3,213,13,10908,0.0255,0.071,11.82,1.0,0.048,0.00182,R-HSA-975110~TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,"UBE2V1,RPS27A,UBA52",Immune response & host–pathogen interactions,1.1487416512809248
