"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Developmental Biology","49","213","1422","10908","7.27e-5","2.79e-4","1.76","6.61e-2","1.89e-4","3.98e-5","R-HSA-1266738~Developmental Biology","EIF4A3,ARPC1A,CLTC,ACTB,ACTG1,PSMD8,PSMD6,PSMD7,KAT5,MYC,PSMD3,PSMD1,RPL38,ELOC,ATP6V1E1,ACTL6A,DARS1,RBX1,PSMA6,PSMA3,PSMA4,PSMA1,PSMA2,LARS1,MED21,EEF1E1,UBA52,MCM2,PSMD12,PSMD11,PSMD14,KARS1,PSMD13,RPL11,PSMB6,PSMB7,PSMB4,PSMB5,PSMB3,PSMB1,RPS27A,PSMC5,EPRS1,ARPC2,ARPC3,PSMC1,PSMC2,EIF4G1,TUBA8"
"REACTOME_PATHWAY","Base Excision Repair","9","213","72","10908","7.34e-5","2.81e-4","6.40","6.67e-2","1.90e-4","1.02e-5","R-HSA-73884~Base Excision Repair","RFC5,FEN1,RFC3,PCNA,RFC2,POLE2,POLD2,RPA2,POT1"
"REACTOME_PATHWAY","Macroautophagy","12","213","139","10908","8.18e-5","3.12e-4","4.42","7.41e-2","2.11e-4","1.70e-5","R-HSA-1632852~Macroautophagy","GABARAPL2,DYNC1LI2,UBE2D3,PIK3R4,UBE2V1,RPS27A,DYNLL1,UBA52,GABARAP,MTOR,UBE2L3,TUBA8"
"REACTOME_PATHWAY","Telomere C-strand synthesis initiation","5","213","13","10908","8.64e-5","3.27e-4","19.70","7.81e-2","2.21e-4","3.07e-6","R-HSA-174430~Telomere C-strand synthesis initiation","POLA2,STN1,TEN1,PRIM1,POT1"
"REACTOME_PATHWAY","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)","5","213","13","10908","8.64e-5","3.27e-4","19.70","7.81e-2","2.21e-4","3.07e-6","R-HSA-5358606~Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)","PCNA,EXO1,MSH3,POLD2,RPA2"
"GOTERM_BP_DIRECT","positive regulation of tumor necrosis factor production","10","245","122","16251","9.35e-5","2.83e-3","5.44","1.10e-1","2.71e-3","1.59e-5","GO:0032760~positive regulation of tumor necrosis factor production","PSMA6,PSMA3,PSMB4,PSMA4,PSMA1,PSMA2,PSMB3,PSMB1,PSMB10,PSMB9"
"GOTERM_BP_DIRECT","protein K48-linked ubiquitination","9","245","96","16251","9.79e-5","2.86e-3","6.22","1.15e-1","2.73e-3","1.44e-5","GO:0070936~protein K48-linked ubiquitination","UBE2B,CDC26,UBE2E3,UBE2D3,UBE2D1,UBE2A,UBE2G2,ANAPC10,RBX1"
"GOTERM_BP_DIRECT","regulation of DNA-templated DNA replication initiation","5","245","17","16251","1.01e-4","2.86e-3","19.51","1.18e-1","2.73e-3","3.99e-6","GO:0030174~regulation of DNA-templated DNA replication initiation","DDB1,MCM4,MCM6,RBX1,MCM2"
"GOTERM_BP_DIRECT","DNA replication checkpoint signaling","5","245","17","16251","1.01e-4","2.86e-3","19.51","1.18e-1","2.73e-3","3.99e-6","GO:0000076~DNA replication checkpoint signaling","RFC5,RFC3,RFC2,RAD17,CDC6"
"REACTOME_PATHWAY","Inactivation of CSF3 (G-CSF) signaling","6","213","25","10908","1.02e-4","3.86e-4","12.29","9.18e-2","2.61e-4","6.71e-6","R-HSA-9705462~Inactivation of CSF3 (G-CSF) signaling","CUL5,UBE2D3,UBE2D1,ELOC,RPS27A,UBA52"
"REACTOME_PATHWAY","Mismatch Repair","5","213","14","10908","1.19e-4","4.47e-4","18.29","1.06e-1","3.02e-4","4.70e-6","R-HSA-5358508~Mismatch Repair","PCNA,EXO1,MSH3,POLD2,RPA2"
"REACTOME_PATHWAY","Prefoldin mediated transfer of substrate  to CCT/TriC","6","213","27","10908","1.51e-4","5.61e-4","11.38","1.32e-1","3.79e-4","1.09e-5","R-HSA-389957~Prefoldin mediated transfer of substrate  to CCT/TriC","CCT3,CCT6A,CCT2,VBP1,TCP1,ACTB"
"REACTOME_PATHWAY","Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)","6","213","27","10908","1.51e-4","5.61e-4","11.38","1.32e-1","3.79e-4","1.09e-5","R-HSA-5693554~Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)","RTEL1,RMI2,WRN,KAT5,EXO1,XRCC3"
"GOTERM_BP_DIRECT","protein modification by small protein conjugation","5","245","19","16251","1.61e-4","4.44e-3","17.46","1.81e-1","4.25e-3","7.31e-6","GO:0032446~protein modification by small protein conjugation","UBE2B,UBE2U,UBE2A,UBE2G2,UBE2L3"
"REACTOME_PATHWAY","Selenoamino acid metabolism","10","213","103","10908","1.73e-4","6.40e-4","4.97","1.50e-1","4.33e-4","3.16e-5","R-HSA-2408522~Selenoamino acid metabolism","SARS1,EPRS1,KARS1,LARS1,RPL11,RPL38,EEF1E1,RPS27A,UBA52,DARS1"
"REACTOME_PATHWAY","Membrane Trafficking","27","213","627","10908","2.04e-4","7.51e-4","2.21","1.74e-1","5.08e-4","8.82e-5","R-HSA-199991~Membrane Trafficking","NAPA,COPB2,ARPC1A,CLTC,COPS7A,GABARAP,ACTB,ACTG1,CAPZB,FCHO1,BNIP1,RPS27A,UBQLN2,GABARAPL2,SNAPIN,DYNLL1,ARFGAP3,RAB10,COPS3,COPS6,DYNC1LI2,SNX18,ARPC2,ARPC3,UBA52,TUBA8,MON1B"
"REACTOME_PATHWAY","Autophagy","12","213","154","10908","2.04e-4","7.51e-4","3.99","1.75e-1","5.08e-4","4.74e-5","R-HSA-9612973~Autophagy","GABARAPL2,DYNC1LI2,UBE2D3,PIK3R4,UBE2V1,RPS27A,DYNLL1,UBA52,GABARAP,MTOR,UBE2L3,TUBA8"
"GOTERM_BP_DIRECT","chromosome segregation","9","245","109","16251","2.37e-4","6.41e-3","5.48","2.56e-1","6.13e-3","4.00e-5","GO:0007059~chromosome segregation","TOP2A,SEH1L,NUF2,CLTC,NUP43,ESCO2,BUB3,CKAP5,CENPQ"
"REACTOME_PATHWAY","Signaling by CSF3 (G-CSF)","6","213","30","10908","2.54e-4","9.30e-4","10.24","2.12e-1","6.29e-4","2.07e-5","R-HSA-9674555~Signaling by CSF3 (G-CSF)","CUL5,UBE2D3,UBE2D1,ELOC,RPS27A,UBA52"
"GOTERM_BP_DIRECT","positive regulation of telomerase RNA localization to Cajal body","4","245","9","16251","2.63e-4","6.94e-3","29.48","2.79e-1","6.63e-3","5.99e-6","GO:1904874~positive regulation of telomerase RNA localization to Cajal body","CCT3,CCT6A,CCT2,TCP1"
