Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
REACTOME_PATHWAY,Interactions of Rev with host cellular proteins,5,210,36,10908,0.00477,0.0153,7.21,0.992,0.00999,0.000585,R-HSA-177243~Interactions of Rev with host cellular proteins,"NUP214,SEH1L,XPO1,NUP43,RAN",Immune response & host–pathogen interactions,1.8153085691824011
REACTOME_PATHWAY,Regulation of TP53 Degradation,5,210,36,10908,0.00477,0.0153,7.21,0.992,0.00999,0.000585,R-HSA-6804757~Regulation of TP53 Degradation,"PPP2R1B,UBC,RPS27A,UBA52,MTOR",Cell signaling,1.8153085691824011
REACTOME_PATHWAY,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,7,210,82,10908,0.00481,0.0153,4.43,0.992,0.01,0.000994,R-HSA-9954716~ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,"RPS19,UBC,RPL11,UBE2D1,RPL38,RPS27A,UBA52",Protein & RNA homeostasis,1.8153085691824011
GOTERM_BP_DIRECT,mitotic cell cycle,8,247,137,16251,0.00487,0.0911,3.84,0.998,0.0868,0.00118,GO:0000278~mitotic cell cycle,"SNX18,MIS12,CLTC,CLTB,PTPN6,TUBE1,CKAP5,RAN",,1.0404816230270018
REACTOME_PATHWAY,Resolution of D-Loop Structures,5,210,37,10908,0.00527,0.0166,7.02,0.995,0.0109,0.000666,R-HSA-5693537~Resolution of D-Loop Structures,"RTEL1,WRN,KAT5,EXO1,EME2",DNA replication & repair,1.779891911959945
REACTOME_PATHWAY,Plasma lipoprotein clearance,5,210,37,10908,0.00527,0.0166,7.02,0.995,0.0109,0.000666,R-HSA-8964043~Plasma lipoprotein clearance,"SOAT2,UBC,CLTC,RPS27A,UBA52",Other,1.779891911959945
REACTOME_PATHWAY,Regulation of TP53 Expression and Degradation,5,210,37,10908,0.00527,0.0166,7.02,0.995,0.0109,0.000666,R-HSA-6806003~Regulation of TP53 Expression and Degradation,"PPP2R1B,UBC,RPS27A,UBA52,MTOR",Cell signaling,1.779891911959945
REACTOME_PATHWAY,mRNA Splicing - Major Pathway,11,210,201,10908,0.00535,0.0167,2.84,0.995,0.0109,0.00176,R-HSA-72163~mRNA Splicing - Major Pathway,"LSM7,HNRNPA3,SF3B3,SNRPD1,ALYREF,EIF4A3,TFIP11,SNRPD3,USP39,PRPF8,CRNKL1",Protein & RNA homeostasis,1.7772835288524167
REACTOME_PATHWAY,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,4,210,19,10908,0.00536,0.0167,10.94,0.995,0.0109,0.000412,R-HSA-1236382~Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,"UBC,GAB1,RPS27A,UBA52",Cell signaling,1.7772835288524167
REACTOME_PATHWAY,Signaling by Ligand-Responsive EGFR Variants in Cancer,4,210,19,10908,0.00536,0.0167,10.94,0.995,0.0109,0.000412,R-HSA-5637815~Signaling by Ligand-Responsive EGFR Variants in Cancer,"UBC,GAB1,RPS27A,UBA52",Cell signaling,1.7772835288524167
REACTOME_PATHWAY,Lagging Strand Synthesis,4,210,19,10908,0.00536,0.0167,10.94,0.995,0.0109,0.000412,R-HSA-69186~Lagging Strand Synthesis,"RFC5,RFC3,PRIM1,POLD2",DNA replication & repair,1.7772835288524167
REACTOME_PATHWAY,Mitophagy,5,210,38,10908,0.00581,0.018,6.83,0.997,0.0118,0.000755,R-HSA-5205647~Mitophagy,"UBC,UBE2V1,RPS27A,UBA52,UBE2L3",Autophagy,1.744727494896694
GOTERM_BP_DIRECT,positive regulation of chromosome condensation,3,247,8,16251,0.00602,0.111,24.67,1.0,0.106,0.000184,GO:1905821~positive regulation of chromosome condensation,"NCAPG,NCAPD3,SMC2",,0.9546770212133425
REACTOME_PATHWAY,Selective autophagy,7,210,86,10908,0.00607,0.0188,4.23,0.998,0.0123,0.00132,R-HSA-9663891~Selective autophagy,"DYNC1LI2,UBC,UBE2V1,RPS27A,DYNLL1,UBA52,UBE2L3",Autophagy,1.7258421507363202
REACTOME_PATHWAY,Recruitment of NuMA to mitotic centrosomes,7,210,88,10908,0.00678,0.021,4.13,0.999,0.0137,0.00151,R-HSA-380320~Recruitment of NuMA to mitotic centrosomes,"YWHAE,DCTN2,NME7,HAUS3,DYNLL1,CKAP5,PAFAH1B1",Cell cycle & mitosis,1.6777807052660807
GOTERM_BP_DIRECT,regulation of double-strand break repair,4,247,26,16251,0.00689,0.125,10.12,1.0,0.119,0.000598,GO:2000779~regulation of double-strand break repair,"KAT5,RUVBL2,ACTL6A,RUVBL1",,0.9030899869919435
REACTOME_PATHWAY,Interferon Signaling,13,210,277,10908,0.00698,0.0215,2.44,0.999,0.014,0.00269,R-HSA-913531~Interferon Signaling,"NUP214,SEH1L,EIF4A3,FANCE,PSMB8,PPP2R1B,UBC,NUP43,PTPN6,RPS27A,UBA52,EIF4E,EIF4G1",Immune response & host–pathogen interactions,1.6675615400843946
REACTOME_PATHWAY,mRNA Splicing,11,210,209,10908,0.00699,0.0215,2.73,0.999,0.014,0.00238,R-HSA-72172~mRNA Splicing,"LSM7,HNRNPA3,SF3B3,SNRPD1,ALYREF,EIF4A3,TFIP11,SNRPD3,USP39,PRPF8,CRNKL1",Protein & RNA homeostasis,1.6675615400843946
REACTOME_PATHWAY,PD-L1(CD274) glycosylation and translocation to plasma membrane,4,210,21,10908,0.00715,0.0219,9.89,0.999,0.0143,0.000618,R-HSA-9931295~PD-L1(CD274) glycosylation and translocation to plasma membrane,"UBC,RPS27A,UBA52,DDOST",Immune response & host–pathogen interactions,1.6595558851598817
REACTOME_PATHWAY,Modulation by Mtb of host immune system,3,210,7,10908,0.0072,0.0219,22.26,0.999,0.0143,0.000233,R-HSA-9637628~Modulation by Mtb of host immune system,"UBC,RPS27A,UBA52",Immune response & host–pathogen interactions,1.6595558851598817
REACTOME_PATHWAY,FLT3 signaling by CBL mutants,3,210,7,10908,0.0072,0.0219,22.26,0.999,0.0143,0.000233,R-HSA-9706377~FLT3 signaling by CBL mutants,"UBC,RPS27A,UBA52",Cell signaling,1.6595558851598817
GOTERM_BP_DIRECT,box C/D snoRNP assembly,3,247,9,16251,0.00766,0.137,21.93,1.0,0.131,0.000272,GO:0000492~box C/D snoRNP assembly,"ZNHIT3,RUVBL2,RUVBL1",,0.8632794328435932
GOTERM_BP_DIRECT,protein ubiquitination,17,247,536,16251,0.00775,0.137,2.09,1.0,0.131,0.00351,GO:0016567~protein ubiquitination,"UBE2D4,UBE2B,EIPR1,UBE2E3,UBE2D1,UBE2A,UBE2L3,DDB1,CDC26,UBE2U,UBC,UBE2V2,PRAME,ELOC,RPS27A,UBA52,ANAPC2",,0.8632794328435932
REACTOME_PATHWAY,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,4,210,22,10908,0.00816,0.0248,9.44,1.0,0.0162,0.000744,R-HSA-450321~JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,"UBC,UBE2V1,RPS27A,UBA52",Cell signaling,1.6055483191737838
REACTOME_PATHWAY,Mitotic Prophase,8,210,120,10908,0.00823,0.0249,3.46,1.0,0.0163,0.0022,R-HSA-68875~Mitotic Prophase,"NUP214,SET,SEH1L,PPP2R1B,NEK7,NUP43,NCAPD3,SMC2",Cell cycle & mitosis,1.6038006529042637
REACTOME_PATHWAY,Influenza Viral RNA Transcription and Replication,8,210,121,10908,0.0086,0.0259,3.43,1.0,0.017,0.00231,R-HSA-168273~Influenza Viral RNA Transcription and Replication,"NUP214,SEH1L,RPS19,RPL11,NUP43,RPL38,RPS27A,UBA52",Immune response & host–pathogen interactions,1.586700235918748
REACTOME_PATHWAY,Loss of proteins required for interphase microtubule organization from the centrosome,6,210,67,10908,0.00909,0.0272,4.65,1.0,0.0178,0.00178,R-HSA-380284~Loss of proteins required for interphase microtubule organization from the centrosome,"YWHAE,DCTN2,HAUS3,DYNLL1,CKAP5,PAFAH1B1",Cytoskeleton & Rho GTPase signaling,1.5654310959658013
REACTOME_PATHWAY,Loss of Nlp from mitotic centrosomes,6,210,67,10908,0.00909,0.0272,4.65,1.0,0.0178,0.00178,R-HSA-380259~Loss of Nlp from mitotic centrosomes,"YWHAE,DCTN2,HAUS3,DYNLL1,CKAP5,PAFAH1B1",Cell cycle & mitosis,1.5654310959658013
REACTOME_PATHWAY,"SRC activates STAT3 in a quantitative manner, through Cadherin-11 (CDH11), RAC1 and gp130 (IL6ST)",4,210,23,10908,0.00926,0.0276,9.03,1.0,0.018,0.000887,"R-HSA-9958810~SRC activates STAT3 in a quantitative manner, through Cadherin-11 (CDH11), RAC1 and gp130 (IL6ST)","UBC,CTNNA1,RPS27A,UBA52",Cell signaling,1.5590909179347823
REACTOME_PATHWAY,activated TAK1 mediates p38 MAPK activation,4,210,23,10908,0.00926,0.0276,9.03,1.0,0.018,0.000887,R-HSA-450302~activated TAK1 mediates p38 MAPK activation,"UBC,UBE2V1,RPS27A,UBA52",Cell signaling,1.5590909179347823
GOTERM_BP_DIRECT,positive regulation of chromosome separation,3,247,10,16251,0.00948,0.163,19.74,1.0,0.156,0.000385,GO:1905820~positive regulation of chromosome separation,"NCAPG,NCAPD3,SMC2",,0.7878123955960422
GOTERM_BP_DIRECT,modification-dependent protein catabolic process,3,247,10,16251,0.00948,0.163,19.74,1.0,0.156,0.000385,GO:0019941~modification-dependent protein catabolic process,"UBC,RPS27A,UBA52",,0.7878123955960422
REACTOME_PATHWAY,HuR (ELAVL1) binds and stabilizes mRNA,3,210,8,10908,0.00948,0.0282,19.48,1.0,0.0184,0.000367,R-HSA-450520~HuR (ELAVL1) binds and stabilizes mRNA,"NUP214,SET,XPO1",Protein & RNA homeostasis,1.5497508916806388
REACTOME_PATHWAY,Signaling by TGF-beta Receptor Complex,7,210,96,10908,0.0102,0.0303,3.79,1.0,0.0198,0.00249,R-HSA-170834~Signaling by TGF-beta Receptor Complex,"CDK9,PPP1CB,XPO1,UBC,UBE2D1,RPS27A,UBA52",Cell signaling,1.518557371497695
GOTERM_BP_DIRECT,mitotic spindle assembly checkpoint signaling,4,247,30,16251,0.0103,0.173,8.77,1.0,0.165,0.00105,GO:0007094~mitotic spindle assembly checkpoint signaling,"ZWILCH,NUF2,BUB3,MAD2L1",,0.7619538968712046
GOTERM_BP_DIRECT,"RNA splicing, via transesterification reactions",4,247,30,16251,0.0103,0.173,8.77,1.0,0.165,0.00105,"GO:0000375~RNA splicing, via transesterification reactions","DBR1,SF3B3,KHSRP,PRPF8",,0.7619538968712046
REACTOME_PATHWAY,M-decay: degradation of maternal mRNAs by maternally stored factors,4,210,24,10908,0.0104,0.0307,8.66,1.0,0.0201,0.00105,R-HSA-9820841~M-decay: degradation of maternal mRNAs by maternally stored factors,"EIF4A3,CNOT10,EIF4E,EIF4G1",Protein & RNA homeostasis,1.5128616245228135
REACTOME_PATHWAY,Deadenylation of mRNA,4,210,24,10908,0.0104,0.0307,8.66,1.0,0.0201,0.00105,R-HSA-429947~Deadenylation of mRNA,"EIF4A3,CNOT10,EIF4E,EIF4G1",Protein & RNA homeostasis,1.5128616245228135
REACTOME_PATHWAY,SARS-CoV-2 modulates host translation machinery,5,210,45,10908,0.0106,0.0309,5.77,1.0,0.0202,0.00165,R-HSA-9754678~SARS-CoV-2 modulates host translation machinery,"RPS19,SNRPD1,SNRPD3,GEMIN8,RPS27A",Immune response & host–pathogen interactions,1.5100415205751654
REACTOME_PATHWAY,SUMOylation of DNA replication proteins,5,210,45,10908,0.0106,0.0309,5.77,1.0,0.0202,0.00165,R-HSA-4615885~SUMOylation of DNA replication proteins,"NUP214,TOP2B,SEH1L,SUMO3,NUP43",DNA replication & repair,1.5100415205751654
REACTOME_PATHWAY,mRNA Polyadenylation,8,210,126,10908,0.0106,0.031,3.3,1.0,0.0203,0.00298,R-HSA-9770562~mRNA Polyadenylation,"PPP1CB,HNRNPA3,SF3B3,SNRPD1,UBC,SNRPD3,RPS27A,UBA52",Protein & RNA homeostasis,1.5086383061657274
REACTOME_PATHWAY,COPI-dependent Golgi-to-ER retrograde traffic,7,210,97,10908,0.0107,0.0313,3.75,1.0,0.0205,0.00264,R-HSA-6811434~COPI-dependent Golgi-to-ER retrograde traffic,"NAPA,COPB2,COPA,COPB1,COPG1,ARFGAP3,ARCN1",Membrane trafficking & vesicular transport,1.5044556624535514
REACTOME_PATHWAY,AURKA Activation by TPX2,6,210,70,10908,0.0109,0.0316,4.45,1.0,0.0207,0.00223,R-HSA-8854518~AURKA Activation by TPX2,"YWHAE,DCTN2,HAUS3,DYNLL1,CKAP5,PAFAH1B1",Cell cycle & mitosis,1.5003129173815961
GOTERM_BP_DIRECT,error-prone translesion synthesis,3,247,11,16251,0.0115,0.188,17.94,1.0,0.179,0.000523,GO:0042276~error-prone translesion synthesis,"POLD2,REV1,POLH",,0.7258421507363202
GOTERM_BP_DIRECT,proteasome assembly,3,247,11,16251,0.0115,0.188,17.94,1.0,0.179,0.000523,GO:0043248~proteasome assembly,"PSMD11,PSMB5,PSMD5",,0.7258421507363202
REACTOME_PATHWAY,Signaling by EGFR in Cancer,4,210,25,10908,0.0117,0.0338,8.31,1.0,0.0221,0.00123,R-HSA-1643713~Signaling by EGFR in Cancer,"UBC,GAB1,RPS27A,UBA52",Cell signaling,1.4710832997223453
