Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
GOTERM_BP_DIRECT,microtubule nucleation,5,248,28,16251,0.0008,0.0752,11.7,0.7,0.0741,5.86e-05,GO:0007020~microtubule nucleation,"NEDD1,MZT2A,CSNK1D,MZT1,ACTB",,1.1237821594083577
REACTOME_PATHWAY,Infectious disease,40,209,1223,10908,0.000828,0.00735,1.71,0.547,0.00628,0.000467,R-HSA-5663205~Infectious disease,"DDX3Y,EIF4A1,FEN1,CUL5,PSMD13,GTF2B,WIPF2,DDX42,HDLBP,UBE2L6,RRBP1,AUP1,ACTB,TUBA1C,PPP1CC,TUBA1B,FCGR3A,DHX16,AKT1,POLR2F,RICTOR,NELFA,VPS36,KPNA3,DYNC1H1,CPSF1,XRCC5,TXNRD1,IL18,ATG14,MED4,BAIAP2,DYNLL2,TUBA4A,RBX1,MED21,PSMC2,UBE2N,RPL28,HSPA1A",Immune response & host–pathogen interactions,2.1337126609158052
REACTOME_PATHWAY,Aggrephagy,6,209,41,10908,0.00103,0.00905,7.64,0.627,0.00774,0.000118,R-HSA-9646399~Aggrephagy,"DYNC1H1,TUBA1C,TUBA1B,UBE2N,DYNLL2,TUBA4A",Autophagy,2.0433514207947967
REACTOME_PATHWAY,Circadian clock,9,209,109,10908,0.00112,0.00973,4.31,0.657,0.00832,0.000238,R-HSA-9909396~Circadian clock,"PPP1CC,KMT2A,CDK5,PSMD13,PSMC2,CUL1,FBXL3,CSNK1D,RBX1",Other,2.011887159731648
GOTERM_BP_DIRECT,mitotic cell cycle,9,248,137,16251,0.00118,0.104,4.3,0.831,0.103,0.000255,GO:0000278~mitotic cell cycle,"CENPT,NEDD1,TUBA1C,PPP2CB,TUBA1B,TBCD,SKA1,TUBA4A,SKA2",,0.9829666607012196
REACTOME_PATHWAY,Selective autophagy,8,209,86,10908,0.00125,0.0107,4.86,0.697,0.00919,0.000234,R-HSA-9663891~Selective autophagy,"DYNC1H1,TUBA1C,TUBA1B,UBE2N,TOMM7,PGAM5,DYNLL2,TUBA4A",Autophagy,1.9706162223147903
REACTOME_PATHWAY,Viral Infection Pathways,34,209,1004,10908,0.00133,0.0114,1.77,0.721,0.00974,0.000724,R-HSA-9824446~Viral Infection Pathways,"DDX3Y,EIF4A1,FEN1,CUL5,PSMD13,GTF2B,DDX42,HDLBP,UBE2L6,RRBP1,AUP1,TUBA1C,PPP1CC,TUBA1B,DHX16,AKT1,POLR2F,RICTOR,NELFA,VPS36,KPNA3,DYNC1H1,CPSF1,XRCC5,ATG14,MED4,DYNLL2,TUBA4A,RBX1,MED21,PSMC2,UBE2N,RPL28,HSPA1A",Immune response & host–pathogen interactions,1.9430951486635273
GOTERM_BP_DIRECT,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,7,248,81,16251,0.00145,0.121,5.66,0.888,0.12,0.000236,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,"PSMD10,SUMO2,AKT1,CSNK1D,HSPBP1,HSPA1A,RBX1",,0.9172146296835499
GOTERM_BP_DIRECT,proteasome-mediated ubiquitin-dependent protein catabolic process,14,248,330,16251,0.00167,0.132,2.78,0.919,0.13,0.000567,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,"CUL5,PSMD13,CUL2,CUL1,UBE4B,PEX10,PSMB10,RBX1,PPP2CB,PSMC2,UBE2N,ERCC8,AKT1,FBXL3",,0.8794260687941501
REACTOME_PATHWAY,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),4,209,13,10908,0.0017,0.0143,16.06,0.803,0.0122,8.18e-05,R-HSA-5358606~Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),"PCNA,MSH3,RPA1,RPA2",DNA replication & repair,1.8446639625349381
REACTOME_PATHWAY,Inhibition of replication initiation of damaged DNA by RB1/E2F1,4,209,13,10908,0.0017,0.0143,16.06,0.803,0.0122,8.18e-05,R-HSA-113501~Inhibition of replication initiation of damaged DNA by RB1/E2F1,"PPP2CB,POLA2,TFDP1,PPP2R1A",DNA replication & repair,1.8446639625349381
REACTOME_PATHWAY,G1/S-Specific Transcription,5,209,28,10908,0.00184,0.0153,9.32,0.828,0.0131,0.000169,R-HSA-69205~G1/S-Specific Transcription,"RRM2,TFDP1,PCNA,CCNE1,LIN9",Cell cycle & mitosis,1.8153085691824011
GOTERM_BP_DIRECT,ubiquitin-dependent protein catabolic process,12,248,255,16251,0.00185,0.139,3.08,0.938,0.137,0.000565,GO:0006511~ubiquitin-dependent protein catabolic process,"CUL5,PSMD13,UBD,PSMC2,CUL2,UBE2N,CUL1,UBE4B,UBE2L6,UBE2G2,RBX1,UBQLN2",,0.8569851997459049
GOTERM_BP_DIRECT,reciprocal meiotic recombination,5,248,36,16251,0.00209,0.15,9.1,0.957,0.148,0.000204,GO:0007131~reciprocal meiotic recombination,"MRE11,HFM1,DMC1,MND1,CCNB1IP1",,0.8239087409443188
REACTOME_PATHWAY,Polymerase switching,4,209,14,10908,0.00213,0.0173,14.91,0.87,0.0148,0.000113,R-HSA-69091~Polymerase switching,"POLA2,PCNA,RFC1,RFC2",DNA replication & repair,1.7619538968712045
REACTOME_PATHWAY,Mismatch Repair,4,209,14,10908,0.00213,0.0173,14.91,0.87,0.0148,0.000113,R-HSA-5358508~Mismatch Repair,"PCNA,MSH3,RPA1,RPA2",DNA replication & repair,1.7619538968712045
REACTOME_PATHWAY,Leading Strand Synthesis,4,209,14,10908,0.00213,0.0173,14.91,0.87,0.0148,0.000113,R-HSA-69109~Leading Strand Synthesis,"POLA2,PCNA,RFC1,RFC2",DNA replication & repair,1.7619538968712045
GOTERM_BP_DIRECT,negative regulation of protein localization,3,248,5,16251,0.00223,0.153,39.32,0.965,0.15,3.43e-05,GO:1903828~negative regulation of protein localization,"GRIPAP1,GDI1,VPS35",,0.8153085691824012
REACTOME_PATHWAY,Transferrin endocytosis and recycling,5,209,30,10908,0.00239,0.0192,8.7,0.898,0.0164,0.000237,R-HSA-917977~Transferrin endocytosis and recycling,"STEAP3,ATP6V1G2,STEAP4,ATP6V1G3,ATP6V1F",Membrane trafficking & vesicular transport,1.7166987712964503
REACTOME_PATHWAY,ER to Golgi Anterograde Transport,10,209,152,10908,0.00251,0.02,3.43,0.91,0.0171,0.000678,R-HSA-199977~ER to Golgi Anterograde Transport,"DCTN6,DYNC1H1,TUBA1C,TUBA1B,CAPZB,CAPZA3,CSNK1D,ACTR10,DYNLL2,TUBA4A",Membrane trafficking & vesicular transport,1.6989700043360187
REACTOME_PATHWAY,Cyclin E associated events during G1/S transition,7,209,73,10908,0.00263,0.0208,5.0,0.92,0.0178,0.000479,R-HSA-69202~Cyclin E associated events during G1/S transition,"TFDP1,CCNE1,PSMD13,PSMC2,CUL1,AKT1,LIN9",Cell cycle & mitosis,1.6819366650372385
REACTOME_PATHWAY,Hedgehog 'off' state,8,209,99,10908,0.0028,0.022,4.22,0.932,0.0188,0.000611,R-HSA-5610787~Hedgehog 'off' state,"TUBA1C,TUBA1B,PSMD13,PSMC2,CUL1,MKS1,TUBA4A,RBX1",Cell signaling,1.6575773191777938
GOTERM_BP_DIRECT,protein modification by small protein conjugation,4,248,19,16251,0.00281,0.17,13.8,0.985,0.167,0.000171,GO:0032446~protein modification by small protein conjugation,"UBD,UBE2N,UBE2L6,UBE2G2",,0.769551078621726
GOTERM_BP_DIRECT,regulation of DNA damage checkpoint,4,248,19,16251,0.00281,0.17,13.8,0.985,0.167,0.000171,GO:2000001~regulation of DNA damage checkpoint,"BABAM2,CUL1,RPA2,RBX1",,0.769551078621726
GOTERM_BP_DIRECT,cellular response to ionizing radiation,5,248,39,16251,0.00282,0.17,8.4,0.986,0.167,0.0003,GO:0071479~cellular response to ionizing radiation,"BABAM2,RAD1,INTS7,RAD9B,RAD9A",,0.769551078621726
