"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Transcriptional regulation by RUNX1","24","210","200","10908","4.21e-12","2.68e-11","6.23","4.21e-9","1.76e-11","6.05e-13","R-HSA-8878171~Transcriptional regulation by RUNX1","PSMD12,PSMD11,PSMD14,ACTL6A,PSMD8,PSMB6,PSMB7,PSMD6,PSMC5,PSMA3,PSMB4,PSMD7,PSMA4,PSMB5,PSMA1,PSMA2,PSMB3,PSMC1,PSMD3,UBC,PSMB1,PSMD1,RPS27A,UBA52"
"REACTOME_PATHWAY","Adherens junctions interactions","26","210","240","10908","4.30e-12","2.73e-11","5.63","4.30e-9","1.78e-11","6.92e-13","R-HSA-418990~Adherens junctions interactions","PSMD12,PSMD11,PSMD14,PVR,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,PSMD3,UBC,PSMB1,CTNNA1,PSMD1,RPS27A,DDOST,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52"
"REACTOME_PATHWAY","Signaling by NOTCH","24","210","205","10908","7.07e-12","4.45e-11","6.08","7.07e-9","2.91e-11","1.05e-12","R-HSA-157118~Signaling by NOTCH","PSMD12,HDAC3,PSMD11,PSMD14,PSMD8,PSMB6,PSMB7,PSMD6,PSMC5,PSMA3,PSMB4,PSMD7,PSMA4,PSMB5,PSMA1,PSMA2,PSMB3,PSMC1,PSMD3,UBC,PSMB1,PSMD1,RPS27A,UBA52"
"REACTOME_PATHWAY","Infectious disease","60","210","1223","10908","7.83e-12","4.90e-11","2.55","7.83e-9","3.21e-11","2.96e-12","R-HSA-5663205~Infectious disease","YWHAE,EIF4A3,CLTC,PSMD8,PPP1CB,PSMD6,PSMD7,XPO1,RPS19,SNRPD1,PSMD3,UFD1,PSMD1,RPL38,ELOC,SNRPD3,NUP214,ACTR2,DYNLL1,CRNKL1,DDOST,PSMA3,DYNC1LI2,PSMA4,PSMA1,XRN1,PSMA2,UBE2V1,GEMIN8,UBA52,PSMD12,SEH1L,HDAC3,SF3B3,PSMD11,PSMD14,SAR1B,RPL11,PRPF8,PSMB6,PSMB7,PSMB4,PSMB5,PSMB3,UBC,PSMB1,G3BP2,NUP43,RPS27A,EIF4E,HNRNPA3,ALYREF,MTOR,CDK9,PSMC5,ARPC2,PSMC1,PTPN6,RAN,EIF4G1"
"REACTOME_PATHWAY","Adaptive Immune System","49","210","874","10908","1.40e-11","8.72e-11","2.91","1.40e-8","5.70e-11","4.60e-12","R-HSA-1280218~Adaptive Immune System","UBE2D4,NCF1,CLTC,UBE2D1,PVR,UBE2L3,PSMD8,PSMD6,PSMD7,PPP2R1B,CDC26,PSMD3,PSMD1,ELOC,UBE2E3,DYNLL1,DDOST,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,UBE2V2,UBE2V1,UBA52,ANAPC2,PSMD12,PSMD11,DCTN2,PSMD14,SAR1B,PSMB6,PSMB7,PSMB4,PSMB5,PSMB3,UBC,PSMB1,RPS27A,UBE2B,UBE2A,MTOR,PSMB8,PSMB9,PSMC5,PSMC1,UBE2U,PTPN6,KLRD1"
"GOTERM_BP_DIRECT","CD8-positive, alpha-beta T cell homeostasis","9","247","15","16251","1.45e-11","2.37e-9","39.48","1.89e-8","2.25e-9","1.73e-13","GO:0160165~CD8-positive, alpha-beta T cell homeostasis","PSMA3,PSMB4,PSMA4,PSMA1,PSMA2,PSMB3,PSMB1,PSMB8,PSMB9"
"REACTOME_PATHWAY","Axon guidance","36","210","514","10908","4.26e-11","2.64e-10","3.64","4.26e-8","1.72e-10","1.10e-11","R-HSA-422475~Axon guidance","GRB7,PSMD12,PSMD11,PSMD14,EIF4A3,RPL11,CLTC,CLTB,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,RPS19,PSMB3,PSMD3,UBC,PSMB1,SLIT1,PSMD1,RPL38,ELOC,RPS27A,ACTR2,GAB1,PSMC5,PSMA3,PSMA4,PSMA1,ARPC2,PSMA2,PSMC1,UBA52,EIF4G1"
"REACTOME_PATHWAY","DNA Damage Recognition in GG-NER","12","210","37","10908","5.43e-11","3.33e-10","16.85","5.43e-8","2.18e-10","2.30e-12","R-HSA-5696394~DNA Damage Recognition in GG-NER","DDB1,COPS3,COPS6,GPS1,UBC,ACTL6A,RUVBL1,COPS7A,RAD23A,COPS8,RPS27A,UBA52"
"REACTOME_PATHWAY","Cell-cell junction organization","26","210","270","10908","5.77e-11","3.52e-10","5.00","5.77e-8","2.30e-10","1.06e-11","R-HSA-421270~Cell-cell junction organization","PSMD12,PSMD11,PSMD14,PVR,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,PSMD3,UBC,PSMB1,CTNNA1,PSMD1,RPS27A,DDOST,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52"
"REACTOME_PATHWAY","Cell junction organization","27","210","296","10908","7.52e-11","4.56e-10","4.74","7.52e-8","2.99e-10","1.46e-11","R-HSA-446728~Cell junction organization","PSMD12,PSMD11,PSMD14,PVR,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,PSMD3,UBC,PSMB1,CTNNA1,PSMD1,RPS27A,PARVA,DDOST,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52"
"REACTOME_PATHWAY","Nucleotide Excision Repair","17","210","106","10908","1.50e-10","9.05e-10","8.33","1.50e-7","5.92e-10","1.55e-11","R-HSA-5696398~Nucleotide Excision Repair","RFC5,RFC3,GPS1,ACTL6A,COPS7A,RAD23A,DDB1,COPS3,COPS6,SUMO3,POLD2,UBC,RUVBL1,UBE2V2,COPS8,RPS27A,UBA52"
"REACTOME_PATHWAY","Nervous system development","36","210","539","10908","1.58e-10","9.49e-10","3.47","1.58e-7","6.21e-10","4.31e-11","R-HSA-9675108~Nervous system development","GRB7,PSMD12,PSMD11,PSMD14,EIF4A3,RPL11,CLTC,CLTB,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,RPS19,PSMB3,PSMD3,UBC,PSMB1,SLIT1,PSMD1,RPL38,ELOC,RPS27A,ACTR2,GAB1,PSMC5,PSMA3,PSMA4,PSMA1,ARPC2,PSMA2,PSMC1,UBA52,EIF4G1"
