"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Phosphorylation and nuclear translocation of the CRY:PER:kinase complex","3","209","14","10908","2.83e-2","1.62e-1","11.18","1.00e+0","1.39e-1","2.16e-3","R-HSA-9931530~Phosphorylation and nuclear translocation of the CRY:PER:kinase complex","PPP1CC,CDK5,CSNK1D"
"GOTERM_BP_DIRECT","negative regulation of actin filament polymerization","3","248","18","16251","3.00e-2","7.35e-1","10.92","1.00e+0","7.24e-1","2.42e-3","GO:0030837~negative regulation of actin filament polymerization","ARFGEF1,MKKS,TWF2"
"GOTERM_BP_DIRECT","ribosome-associated ubiquitin-dependent protein catabolic process","3","248","18","16251","3.00e-2","7.35e-1","10.92","1.00e+0","7.24e-1","2.42e-3","GO:1990116~ribosome-associated ubiquitin-dependent protein catabolic process","CUL2,ASCC2,RBX1"
"GOTERM_BP_DIRECT","RNA polymerase II core complex assembly","2","248","2","16251","3.02e-2","7.35e-1","65.53","1.00e+0","7.24e-1","2.32e-4","GO:1990114~RNA polymerase II core complex assembly","GTF2B,PFDN5"
"GOTERM_BP_DIRECT","positive regulation of platelet formation","2","248","2","16251","3.02e-2","7.35e-1","65.53","1.00e+0","7.24e-1","2.32e-4","GO:1905221~positive regulation of platelet formation","PRKDC,MPL"
"REACTOME_PATHWAY","Resolution of D-loop Structures through Holliday Junction Intermediates","4","209","36","10908","3.08e-2","1.74e-1","5.80","1.00e+0","1.49e-1","4.77e-3","R-HSA-5693568~Resolution of D-loop Structures through Holliday Junction Intermediates","BRIP1,RMI2,MRE11,XRCC3"
"REACTOME_PATHWAY","Regulation of TP53 Degradation","4","209","36","10908","3.08e-2","1.74e-1","5.80","1.00e+0","1.49e-1","4.77e-3","R-HSA-6804757~Regulation of TP53 Degradation","PPP2CB,PPP2R1A,AKT1,RICTOR"
"GOTERM_BP_DIRECT","cellular response to stress","4","248","45","16251","3.08e-2","7.35e-1","5.82","1.00e+0","7.24e-1","4.83e-3","GO:0033554~cellular response to stress","AKT1,PDK2,SIRT3,HSPA1A"
"GOTERM_BP_DIRECT","positive regulation of DNA repair","4","248","45","16251","3.08e-2","7.35e-1","5.82","1.00e+0","7.24e-1","4.83e-3","GO:0045739~positive regulation of DNA repair","BABAM2,PCNA,UBE2N,ERCC8"
"REACTOME_PATHWAY","The role of GTSE1 in G2/M progression after G2 checkpoint","5","209","63","10908","3.19e-2","1.80e-1","4.14","1.00e+0","1.54e-1","7.03e-3","R-HSA-8852276~The role of GTSE1 in G2/M progression after G2 checkpoint","TUBA1C,TUBA1B,PSMD13,PSMC2,TUBA4A"
