Name	unrefined_intensity	refined_intensity
A1BG	-0.3149688398744649	-0.01924648592936905
A1CF	-0.7504399968322053	-0.003870019063663683
A2M	-0.1739256101124116	-0.005145937026395922
A2ML1	-0.1860106772405925	-0.005044795577442109
A4GALT	-0.463982540841161	-0.0027602321354640667
A4GNT	-0.0072611884858844	-3.939194753592287e-05
AAAS	0.3900206559243998	0.010052782406451403
AACS	-0.6057176047891641	-0.01125483881458746
AADAC	-1.724519787481174	-0.005314969985016979
AADACL2	-0.0195625940846307	-3.844049737629933e-05
AADACL4	-0.5467602633680909	-0.0003105598295930757
AADAT	0.293882428351871	0.0008128787968212751
AAGAB	0.5759147545334393	0.006233125388315414
AAK1	1.1497190395846757	0.034788198699753116
AAMDC	-0.4624617347184085	-0.0035170214925334966
AAMP	-0.5914595982783125	-0.0003560586781635441
AANAT	-0.1070081007222529	-0.003077231952469827
AAR2	0.2777412131391	0.011671518999744399
AARD	-0.2667013543266469	-0.00045392570506395296
AARS1	-1.2239349565372448	-0.3439759041201838
AARS2	0.3678337509399065	0.0003612127434229882
AARSD1	0.4254477693100952	0.0028139115462169698
AASDH	-0.1273855897777943	-0.0010095307989890197
AASDHPPT	-0.0018189749692564	-9.233116943945487e-06
AASS	0.802350730775444	0.010294962226579723
AATF	-0.9466724809192546	-0.0006976976184374906
AATK	-0.9599751834154536	-0.020280435724834872
ABAT	0.3299098049118743	0.027456413603985833
ABCA1	0.055959723034863	0.0012493567764763512
ABCA10	-0.2515445511517833	-0.001960538231676999
ABCA12	0.3575708735741449	0.008667875546310846
ABCA13	0.0444977564393344	0.0013360896348474547
ABCA2	-0.609752541923444	-0.013184069461468705
ABCA3	-0.2523124175086465	-0.00581807203533188
ABCA4	0.1800802562246131	0.0027701745815032234
ABCA5	0.2801715762584507	0.001818873873069862
ABCA6	0.3908997574970537	0.002954811266920229
ABCA7	-0.1250562806470102	-0.0018627133002372168
ABCA8	0.2578008952970469	0.002268647878614013
ABCA9	-0.3703649158637899	-0.0029358826880522626
ABCB1	0.3423110234028412	0.004831377784307701
ABCB10	0.3527541940840014	0.002263976417631121
ABCB11	-1.0882912078143714	-0.015178397475387037
ABCB4	0.3794352396332011	0.006992612031200263
ABCB5	0.1464043871103001	0.003069075166993221
ABCB6	0.4913766120189686	0.004361458808280366
ABCB7	0.8664425550464435	0.04890375069193136
ABCB8	0.6412855176419199	0.006405159750207496
ABCB9	0.3090958259200942	0.0021003061371270403
ABCC1	-0.7020042080277662	-0.01590179932024496
ABCC10	0.7782698911940333	0.011561199233687366
ABCC11	0.5018682494434901	0.006769700816743237
ABCC12	0.2544135065333311	0.006115591870048213
ABCC2	-0.5037655584627837	-0.01158912667243634
ABCC3	-0.9033732640098282	-0.012411445274231029
ABCC4	0.2569065910896292	0.0033038187614126318
ABCC5	-0.579186170023519	-0.012281063549178697
ABCC6	-0.7929401392247999	-0.01878158013767861
ABCC8	0.0413547815396513	0.0013768660965811504
ABCC9	-0.2094831623270561	-0.002310389797305102
ABCD1	-0.3461135771893249	-0.0060137234036645205
ABCD2	0.2639706054620087	0.002318453827772822
ABCD3	0.3935945549397629	0.002078572844636888
ABCD4	1.2106963521772007	0.02936665071841018
ABCE1	-1.243221860252009	-0.000809337431024058
ABCF1	-0.7514053909769856	-0.00443178899598226
ABCF2	-0.4344225912380288	-0.00024588318664072427
ABCF3	0.0773703661425203	5.0058626894210636e-05
ABCG1	-0.7993308857669341	-0.006558509917717695
ABCG2	0.0095629174818837	8.124654692608392e-05
ABCG4	0.1782160229008008	0.0011938691374124646
ABCG5	0.631198541265269	0.018155794840954198
ABCG8	-0.5858680759587774	-0.005097638128917323
ABHD1	-0.1434081449026353	-0.00033457120205784813
ABHD10	-0.5663298417076289	-0.05544199251365175
ABHD12	1.1277115148322374	0.011921038423291582
ABHD12B	-0.158214712192256	-0.00032117586575027967
ABHD13	-0.085694873788029	-0.0003481782722007618
ABHD14A	0.6997119203298843	0.006147668932018364
ABHD14B	-0.2039502400955294	-0.0006638580315109482
ABHD15	1.0049415220427824	0.0007979235685019692
ABHD16A	-0.93676253971064	-0.01936100817073951
ABHD16B	-0.499100707902287	-0.0003992805663218296
ABHD17A	0.0235196219172449	0.00010520326883583645
ABHD17B	-0.2304914213656416	-0.00041580652414361746
ABHD17C	0.4776750761405917	0.003065240963594177
ABHD18	-0.4517434365579443	-0.0003785609998355573
ABHD2	0.7447873821218354	0.0008066047348379477
ABHD3	1.1703237362592915	0.007391764718213686
ABHD4	1.7852284361399329	0.009909803049012768
ABHD5	0.2724081645431628	0.0016894754364966957
ABHD6	0.7449356672298404	0.008790240873312117
ABHD8	0.1502508111083813	0.00013462472675310964
ABI1	-0.7301738527466684	-0.026202288705814192
ABI2	-0.3627156227913144	-0.035960352274776494
ABI3	-0.205502623572038	-0.015341798362770496
ABI3BP	-0.319335699421251	-0.011166211401662884
ABITRAM	-0.260291257339995	-0.002276767627952936
ABL1	0.330609120963493	0.019372041442855873
ABL2	-0.1128852927880243	-0.0088144223167673
ABLIM1	-0.2571068720732617	-0.005666378353622615
ABLIM2	-0.3431986805261098	-0.006102415738434759
ABLIM3	-0.0176148316595988	-0.0002849551317573298
ABO	-0.83034008294698	-0.004349321354476281
ABR	-0.6613237725493737	-0.01606024781636154
ABRA	-1.0342438563781784	-0.008086752713020976
ABRAXAS1	-0.0057264645922671	-0.00026096644439879625
ABRAXAS2	-0.0873754347114915	-0.017045199803517763
ABT1	-0.3632997609126583	-0.00016384819217160891
ABTB1	-0.9695060865683448	-0.026658508862369777
ABTB2	0.607428778389637	0.019321702011795963
ABTB3	0.1973665401185459	0.005274423418128021
ACAA1	0.7336724260301114	0.02705637172713845
ACAA2	0.4985128054928108	0.06320394604440602
ACACA	-0.363591969786548	-0.036416280917911284
ACACB	0.9509938775114188	0.02303021873169403
ACAD10	-0.3660903736220937	-0.006218411086344884
ACAD11	-0.2195457585231674	-0.0006136303950722529
ACAD8	0.5840520769947967	0.014222836178977287
ACAD9	0.7933051172866912	0.02620524793933127
ACADL	-0.3893734054482842	-0.000631563663637117
ACADM	-0.0907875584591679	-0.0025849941520078874
ACADS	-0.4404032586650693	-0.038602666831769314
ACADSB	-0.3944374218459301	-0.00808478383557603
ACADVL	-0.0029246578367563	-4.589373077437986e-05
ACAN	0.2468801388795933	0.010193680934338409
ACAP1	-0.7840699491860741	-0.09638728699334247
ACAP2	1.0155646314709308	0.155028987687932
ACAP3	0.084526978336424	0.005976564530255196
ACAT1	-0.0576165681133421	-0.00234078831274075
ACAT2	0.7104073334800658	0.031142126277765646
ACBD3	0.742611301104664	0.004766821941790838
ACBD4	-0.1720720506245988	-0.0018848772425418552
ACBD5	-0.5485293852813101	-0.0012067646476188823
ACBD6	-0.5557301551512472	-0.0005007128697912738
ACBD7	-0.0083294103279741	-4.799406230978676e-05
ACCS	-0.1102847109062806	-0.00030162868432867746
ACCSL	-0.7493204271671638	-0.007890344098070235
ACD	0.68327363272354	0.5596762653001789
ACE	-0.4289984119545731	-0.003108522493022837
ACE2	-0.0978534212213813	-0.0016466773723134043
ACER1	0.390849410229088	0.003400389868993065
ACER2	-0.7271005307238312	-0.006493734839894536
ACER3	-0.0880197653838771	-0.0021120342703861306
ACHE	-0.7068865597484516	-0.018659684517679877
ACIN1	-0.1460413810103224	-0.0015417588593259737
ACKR1	-0.0774298529075024	-0.002055375445429651
ACKR2	-0.1057562058234905	-0.00387786855513575
ACKR3	-1.006953317466157	-0.03532492933003025
ACKR4	0.1636060354970693	0.00478367687189881
ACKR5	0.434590816688733	0.0066692306729052965
ACLY	0.3632136906917795	0.0023376433132922926
ACMSD	0.2311720207017574	0.00018493761656140594
ACO1	0.5336400587238043	0.0015705026928241558
ACO2	0.1595146399528346	0.0030113173730296114
ACOT1	0.026620118647437	2.3638665358924057e-05
ACOT11	0.6594049374212883	0.0006785276806065056
ACOT12	0.6590196692424397	0.0012659767846147267
ACOT13	-1.0576082533359423	-0.009451844960063318
ACOT2	0.9078425795863136	0.0018047910482175916
ACOT4	1.487372786005705	0.0007957444405130522
ACOT6	-0.2757784780084611	-0.00025040685803168265
ACOT7	-0.0650954638378083	-0.0015534381490254572
ACOT8	0.160519171582406	0.0005244161335597203
ACOT9	0.0554678070135753	0.0030831225850425697
ACOX1	0.1653219265061138	0.004906754778701458
ACOX2	1.319331942672722	0.02223470122986338
ACOX3	-0.1518152420741205	-0.0008985944178367193
ACOXL	-0.331178904278962	-0.0026901662394580085
ACP1	0.1617504223034799	0.000982472065071337
ACP2	-0.8113867332005786	-0.008937424866204373
ACP3	-0.5586663673978555	-0.002953669084432462
ACP4	0.556309516835626	0.002757626274954198
ACP5	0.3669737428873282	0.00302312969390581
ACP6	-0.1900108147011708	-0.0018558356271863351
ACP7	-0.1248089560827383	-0.0005072235975202485
ACR	0.0093025766975462	0.00017458145688284952
ACRBP	-0.1843667377658499	-0.0013528831217258066
ACRV1	-0.7204253186410665	-0.00799167805968535
ACSBG1	0.330028152537786	0.0077167182626385125
ACSBG2	0.3281308934434458	0.007258583493862465
ACSF2	0.0654268829836937	0.000285588344223823
ACSF3	-0.8912756046235772	-0.0036034272694931225
ACSL1	-0.101154601914513	-0.001214866768993301
ACSL3	-0.1348277319479484	-0.002132300580756804
ACSL4	0.4565772514354067	0.005951027895209091
ACSL5	0.9673026231609034	0.023076938680749674
ACSL6	0.0914355729462081	0.0021638228337720147
ACSM1	-0.527705349295645	-0.002545650605002192
ACSM2A	0.4852177092207623	0.0017317420042089007
ACSM2B	-1.0165706435871005	-0.003153402136407186
ACSM3	-0.698526360469842	-0.0030518616688927393
ACSM5	0.7540428772555471	0.0023880537922683176
ACSM6	-1.6388679957151	-0.0040512816854077266
ACSS1	0.4342378455037274	0.002611072165013913
ACSS2	0.7419583338949929	0.019503858723097678
ACSS3	0.0644616931756049	0.00022374653701252463
ACTA1	-0.3802022090969142	-0.03622718729159037
ACTA2	0.0082838077798727	0.001627138659353715
ACTB	0.5430777145504527	0.15200419383638442
ACTBL2	-0.2947217447809276	-0.06355202871409055
ACTC1	0.5559630191492352	0.11298169282546928
ACTG1	0.0564507399462426	0.015472752664085472
ACTG2	-0.0821246828454408	-0.013425496777524127
ACTL10	-1.209467773822206	-0.005249090138388374
ACTL6A	-0.6763113798935418	-0.13059234590054344
ACTL6B	0.388815288217077	0.026276525992998283
ACTL7A	-0.1176030701420527	-0.008835753865912704
ACTL7B	-0.3086911049771201	-0.004027184155531509
ACTL8	-0.4961847415103069	-0.0021559227018622834
ACTL9	0.8030739292545608	0.010159688278999449
ACTMAP	-0.6467353193917675	-0.001546990883985108
ACTN1	0.2763516555674684	0.04357623445650068
ACTN2	-0.5533835610933006	-0.0490978496908809
