"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Cap-dependent Translation Initiation","35","175","105","10908","4.48e-36","3.20e-34","20.78","4.24e-33","2.51e-34","1.48e-37","R-HSA-72737~Cap-dependent Translation Initiation","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,EIF5B,RPL23,RPS5,RPL35A,EIF2S2,RPS29,RPL37A,EIF3G,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Response of EIF2AK4 (GCN2) to amino acid deficiency","33","175","87","10908","4.73e-36","3.20e-34","23.64","4.47e-33","2.51e-34","1.28e-37","R-HSA-9633012~Response of EIF2AK4 (GCN2) to amino acid deficiency","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,EIF2S2,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Formation of a pool of free 40S subunits","33","175","87","10908","4.73e-36","3.20e-34","23.64","4.47e-33","2.51e-34","1.28e-37","R-HSA-72689~Formation of a pool of free 40S subunits","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,EIF3G,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Selenocysteine synthesis","32","175","79","10908","5.45e-36","3.23e-34","25.25","5.16e-33","2.53e-34","1.33e-37","R-HSA-2408557~Selenocysteine synthesis","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Eukaryotic Translation Termination","32","175","79","10908","5.45e-36","3.23e-34","25.25","5.16e-33","2.53e-34","1.33e-37","R-HSA-72764~Eukaryotic Translation Termination","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","L13a-mediated translational silencing of Ceruloplasmin expression","34","175","97","10908","7.63e-36","4.25e-34","21.85","7.21e-33","3.33e-34","2.34e-37","R-HSA-156827~L13a-mediated translational silencing of Ceruloplasmin expression","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,EIF2S2,RPS29,RPL37A,EIF3G,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","32","175","81","10908","1.40e-35","7.39e-34","24.62","1.33e-32","5.80e-34","3.58e-37","R-HSA-975956~Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","32","175","82","10908","2.23e-35","1.11e-33","24.32","2.11e-32","8.71e-34","5.79e-37","R-HSA-9954716~ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","SRP-dependent cotranslational protein targeting to membrane","33","175","97","10908","2.91e-34","1.38e-32","21.21","2.75e-31","1.08e-32","9.34e-36","R-HSA-1799339~SRP-dependent cotranslational protein targeting to membrane","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,SRP68,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Selenoamino acid metabolism","33","175","103","10908","2.68e-33","1.21e-31","19.97","2.54e-30","9.49e-32","9.41e-35","R-HSA-2408522~Selenoamino acid metabolism","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,SCLY,UBA52"
