"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Metabolism of RNA","90","191","714","10908","2.89e-55","2.91e-52","7.20","2.91e-52","2.20e-52","3.57e-56","R-HSA-8953854~Metabolism of RNA","RPL4,ISY1,RPL5,RPL30,RPL3,RPLP0,EIF4A3,HSPB1,RPL10A,USP39,RPL8,WDR46,RPL9,RPL6,RPL7,RPS4X,PSMD8,UBL5,FBL,RPL7A,RPS16,PSMD7,XPO1,RPS19,SNRPD2,RPS18,SNRPD1,PSMD3,NUP62,CWC22,RPL36,PSMD1,RPL38,SNRPD3,RPS11,RPS13,RPS12,IK,RPL21,RPL23,RPS5,CRNKL1,EBNA1BP2,PSMA2,RPL37A,SRSF3,RPL27,ETF1,SNRPA1,SNRPF,CACTIN,SNRNP200,UBA52,SLU7,SF3B5,SF3B2,SF3B3,PSMD11,SF3B6,RPL12,RPL11,U2AF1,SNU13,PRPF8,NXF1,UBC,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,SF3B1,EIF4E,RPL17,RPL19,RANBP2,SF3A3,RBM39,SF3A1,SF3A2,GPKOW,RPL35A,WDR12,XAB2,RPS28,HNRNPK,RPS21,RAN,EIF4G1"
"REACTOME_PATHWAY","Regulation of expression of SLITs and ROBOs","49","191","144","10908","7.79e-50","3.92e-47","19.43","7.84e-47","2.97e-47","2.72e-51","R-HSA-9010553~Regulation of expression of SLITs and ROBOs","RPL4,RPL5,RPL30,RPL3,RPLP0,EIF4A3,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,PSMD8,RPL7A,RPS16,PSMD7,RPS19,RPS18,PSMD3,RPL36,PSMD1,RPL38,RPS11,RPS13,RPS12,RPL21,RPL23,RPS5,PSMA2,RPL37A,RPL27,ETF1,UBA52,PSMD11,RPL12,RPL11,UBC,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,RPL17,RPL19,RPL35A,RPS28,RPS21,EIF4G1"
"REACTOME_PATHWAY","Ribosome-associated quality control","47","191","129","10908","2.65e-49","8.91e-47","20.81","2.67e-46","6.74e-47","8.35e-51","R-HSA-9948299~Ribosome-associated quality control","RPL4,RPL5,RPL30,PSMD11,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,PSMD8,RPS4X,RPL7A,RPS16,PSMD7,RPS19,RPS18,PSMD3,UBC,PSMB1,RPL36,RPL14,RPS3,PSMD1,UFD1,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,PSMA2,RPL37A,RPL27,UBA52,RPS21"
"GOTERM_BP_DIRECT","cytoplasmic translation","39","247","78","16251","5.63e-49","7.44e-46","32.90","7.45e-46","7.28e-46","8.92e-51","GO:0002181~cytoplasmic translation","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,GTPBP1,RPS28,RPL37A,RPL27,UBA52,RPS21"
"REACTOME_PATHWAY","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","40","191","81","10908","4.55e-48","1.15e-45","28.20","4.58e-45","8.66e-46","8.51e-50","R-HSA-975956~Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,ETF1,UBA52,RPS21,EIF4G1"
"REACTOME_PATHWAY","Peptide chain elongation","39","191","75","10908","5.92e-48","1.19e-45","29.70","5.96e-45","9.03e-46","1.00e-49","R-HSA-156902~Peptide chain elongation","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,EEF2,RPS28,RPL37A,RPL27,UBA52,RPS21"
"REACTOME_PATHWAY","Eukaryotic Translation Elongation","39","191","79","10908","8.31e-47","1.20e-44","28.19","8.36e-44","9.04e-45","1.56e-48","R-HSA-156842~Eukaryotic Translation Elongation","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,EEF2,RPS28,RPL37A,RPL27,UBA52,RPS21"
"REACTOME_PATHWAY","Eukaryotic Translation Termination","39","191","79","10908","8.31e-47","1.20e-44","28.19","8.36e-44","9.04e-45","1.56e-48","R-HSA-72764~Eukaryotic Translation Termination","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,ETF1,UBA52,RPS21"
"REACTOME_PATHWAY","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","38","191","75","10908","4.14e-46","4.63e-44","28.94","4.16e-43","3.50e-44","7.37e-48","R-HSA-9954714~PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,UBA52,RPS21"
"REACTOME_PATHWAY","Viral mRNA Translation","38","191","75","10908","4.14e-46","4.63e-44","28.94","4.16e-43","3.50e-44","7.37e-48","R-HSA-192823~Viral mRNA Translation","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,UBA52,RPS21"
"REACTOME_PATHWAY","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","39","191","82","10908","5.32e-46","5.37e-44","27.16","5.36e-43","4.06e-44","1.07e-47","R-HSA-9954716~ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,UBC,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,UBA52,RPS21"
"REACTOME_PATHWAY","GTP hydrolysis and joining of the 60S ribosomal subunit","41","191","98","10908","1.23e-45","1.13e-43","23.89","1.24e-42","8.54e-44","3.11e-47","R-HSA-72706~GTP hydrolysis and joining of the 60S ribosomal subunit","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,EIF4E,RPL17,RPS13,RPS12,RPL19,EIF5B,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,UBA52,RPS21,EIF4G1"
"REACTOME_PATHWAY","Selenocysteine synthesis","38","191","79","10908","5.24e-45","3.94e-43","27.47","5.28e-42","2.98e-43","1.03e-46","R-HSA-2408557~Selenocysteine synthesis","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,UBA52,RPS21"
"REACTOME_PATHWAY","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","41","191","101","10908","5.47e-45","3.94e-43","23.18","5.51e-42","2.98e-43","1.45e-46","R-HSA-975957~Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","RPL4,RPL5,RPL30,RPL3,RPL12,RPLP0,EIF4A3,RPL11,RPL10A,RPL8,RPL9,RPL6,RPL7,RPS4X,RPL7A,RPS16,RPS19,RPS18,RPL36,RPL14,RPS3,RPL13,RPL38,RPS27A,RPS11,RPL18,RPL17,RPS13,RPS12,RPL19,RPL21,RPL23,RPS5,RPL35A,RPS28,RPL37A,RPL27,ETF1,UBA52,RPS21,EIF4G1"
