Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
REACTOME_PATHWAY,Degradation of GLI2 by the proteasome,14,175,47,10908,2.42e-13,3.53e-12,18.57,2.29e-10,2.77e-12,9.57e-15,R-HSA-5610783~Degradation of GLI2 by the proteasome,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell signaling,11.452225294612177
REACTOME_PATHWAY,Degradation of GLI1 by the proteasome,14,175,47,10908,2.42e-13,3.53e-12,18.57,2.29e-10,2.77e-12,9.57e-15,R-HSA-5610780~Degradation of GLI1 by the proteasome,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell signaling,11.452225294612177
REACTOME_PATHWAY,Dectin-1 mediated noncanonical NF-kB signaling,14,175,47,10908,2.42e-13,3.53e-12,18.57,2.29e-10,2.77e-12,9.57e-15,R-HSA-5607761~Dectin-1 mediated noncanonical NF-kB signaling,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Immune response & host–pathogen interactions,11.452225294612177
REACTOME_PATHWAY,Degradation of CRY and PER proteins,14,175,48,10908,3.28e-13,4.7e-12,18.18,3.1e-10,3.69e-12,1.33e-14,R-HSA-9932298~Degradation of CRY and PER proteins,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Ubiquitin-mediated protein degradation,11.327902142064282
REACTOME_PATHWAY,Proteasome assembly,14,175,50,10908,5.86e-13,8.16e-12,17.45,5.55e-10,6.4e-12,2.51e-14,R-HSA-9907900~Proteasome assembly,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMD4,PSMA1,PSMD2,PSME3,PSMB1",Ubiquitin-mediated protein degradation,11.088309841246138
REACTOME_PATHWAY,SCF(Skp2)-mediated degradation of p27/p21,14,175,50,10908,5.86e-13,8.16e-12,17.45,5.55e-10,6.4e-12,2.51e-14,R-HSA-187577~SCF(Skp2)-mediated degradation of p27/p21,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,11.088309841246138
REACTOME_PATHWAY,APC/C:Cdc20 mediated degradation of mitotic proteins,15,175,62,10908,6.1e-13,8.37e-12,15.08,5.77e-10,6.57e-12,3.17e-14,R-HSA-176409~APC/C:Cdc20 mediated degradation of mitotic proteins,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,CCNB1,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,11.07727454200674
REACTOME_PATHWAY,ABC-family protein mediated transport,17,175,90,10908,6.76e-13,9.15e-12,11.77,6.4e-10,7.18e-12,4.78e-14,R-HSA-382556~ABC-family protein mediated transport,"PSMD11,PSMD14,SEL1L,EIF2S2,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52,ABCG1",Membrane trafficking & vesicular transport,11.038578905933552
REACTOME_PATHWAY,Activation of STAT3 by cadherin engagement,16,175,76,10908,7.32e-13,9.67e-12,13.12,6.93e-10,7.59e-12,4.53e-14,R-HSA-9958825~Activation of STAT3 by cadherin engagement,"PSMD11,PSMD14,PSMB6,TRAF7,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RAC1,RPS27A,UBA52",Cell signaling,11.014573525916997
REACTOME_PATHWAY,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,15,175,63,10908,7.74e-13,9.67e-12,14.84,7.32e-10,7.59e-12,4.11e-14,R-HSA-176814~Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,CCNB1,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,11.014573525916997
REACTOME_PATHWAY,The role of GTSE1 in G2/M progression after G2 checkpoint,15,175,63,10908,7.74e-13,9.67e-12,14.84,7.32e-10,7.59e-12,4.11e-14,R-HSA-8852276~The role of GTSE1 in G2/M progression after G2 checkpoint,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,CCNB1,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,11.014573525916997
REACTOME_PATHWAY,Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A,14,175,51,10908,7.76e-13,9.67e-12,17.11,7.34e-10,7.59e-12,3.42e-14,R-HSA-69601~Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,11.014573525916997
REACTOME_PATHWAY,Asymmetric localization of PCP proteins,14,175,51,10908,7.76e-13,9.67e-12,17.11,7.34e-10,7.59e-12,3.42e-14,R-HSA-4608870~Asymmetric localization of PCP proteins,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell signaling,11.014573525916997
REACTOME_PATHWAY,p53-Independent G1/S DNA Damage Checkpoint,14,175,51,10908,7.76e-13,9.67e-12,17.11,7.34e-10,7.59e-12,3.42e-14,R-HSA-69613~p53-Independent G1/S DNA Damage Checkpoint,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",DNA replication & repair,11.014573525916997
REACTOME_PATHWAY,ABC transporter disorders,15,175,65,10908,1.23e-12,1.51e-11,14.38,1.16e-09,1.18e-11,6.77e-14,R-HSA-5619084~ABC transporter disorders,"PSMD11,PSMD14,SEL1L,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Other,10.821023052706831
REACTOME_PATHWAY,Disease,73,175,2013,10908,1.29e-12,1.52e-11,2.26,1.22e-09,1.19e-11,5.55e-13,R-HSA-1643685~Disease,"RPL4,NCKAP1,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,IPO5,RPL7,RPS4X,RPS14,RPL7A,PSMD6,RPS16,PSMD7,KAT5,SNRPD2,PSMD2,RPL38,RAC1,KPNA2,RPS10,RPS12,ENTPD1,RPL23,RPS5,LMO7,ATP1B3,HLA-G,CDC40,PSMA6,PSMA3,COL4A2,PSMA1,RPL37A,RPL24,SRSF3,RPL27,PPIH,RPL26,SNRPF,UBA52,SF3B5,SF3B3,PSMD11,PSMD14,SF3B6,SEL1L,ATP1A1,PRPF8,PSMB6,CCNB1,CUX1,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,RAE1,RPL17,MUTYH,RPL19,SMAD3,GPKOW,RPL35A,EEF2,PSMC5,PSMC6,RPS29,CHMP2A",Other,10.818156412055227
REACTOME_PATHWAY,p53-Dependent G1 DNA Damage Response,14,175,53,10908,1.33e-12,1.52e-11,16.46,1.26e-09,1.19e-11,6.19e-14,R-HSA-69563~p53-Dependent G1 DNA Damage Response,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",DNA replication & repair,10.818156412055227
REACTOME_PATHWAY,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,14,175,53,10908,1.33e-12,1.52e-11,16.46,1.26e-09,1.19e-11,6.19e-14,R-HSA-1234176~Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell signaling,10.818156412055227
REACTOME_PATHWAY,p53-Dependent G1/S DNA damage checkpoint,14,175,53,10908,1.33e-12,1.52e-11,16.46,1.26e-09,1.19e-11,6.19e-14,R-HSA-69580~p53-Dependent G1/S DNA damage checkpoint,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",DNA replication & repair,10.818156412055227
REACTOME_PATHWAY,Autodegradation of Cdh1 by Cdh1:APC/C,14,175,53,10908,1.33e-12,1.52e-11,16.46,1.26e-09,1.19e-11,6.19e-14,R-HSA-174084~Autodegradation of Cdh1 by Cdh1:APC/C,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,10.818156412055227
REACTOME_PATHWAY,Degradation of CDH1,14,175,53,10908,1.33e-12,1.52e-11,16.46,1.26e-09,1.19e-11,6.19e-14,R-HSA-9766229~Degradation of CDH1,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,10.818156412055227
REACTOME_PATHWAY,Activation of NF-kappaB in B cells,14,175,54,10908,1.73e-12,1.93e-11,16.16,1.64e-09,1.51e-11,8.24e-14,R-HSA-1169091~Activation of NF-kappaB in B cells,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Immune response & host–pathogen interactions,10.714442690992227
REACTOME_PATHWAY,APC/C:Cdc20 mediated degradation of Securin,14,175,54,10908,1.73e-12,1.93e-11,16.16,1.64e-09,1.51e-11,8.24e-14,R-HSA-174154~APC/C:Cdc20 mediated degradation of Securin,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,10.714442690992227
REACTOME_PATHWAY,Regulation of APC/C activators between G1/S and early anaphase,15,175,67,10908,1.92e-12,2.11e-11,13.95,1.81e-09,1.66e-11,1.1e-13,R-HSA-176408~Regulation of APC/C activators between G1/S and early anaphase,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,CCNB1,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell cycle & mitosis,10.675717544702307
REACTOME_PATHWAY,Regulation of RAS by GAPs,14,175,55,10908,2.24e-12,2.44e-11,15.87,2.12e-09,1.91e-11,1.09e-13,R-HSA-5658442~Regulation of RAS by GAPs,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell signaling,10.61261017366127
REACTOME_PATHWAY,Regulation of PTEN stability and activity,14,175,56,10908,2.87e-12,3.09e-11,15.58,2.72e-09,2.43e-11,1.43e-13,R-HSA-8948751~Regulation of PTEN stability and activity,"PSMD11,PSMD14,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52",Cell signaling,10.510041520575166
