"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","TGFBR1 KD Mutants in Cancer","2","146","6","10908","7.72e-2","1.00e+0","24.90","1.00e+0","1.00e+0","2.58e-3","R-HSA-3656532~TGFBR1 KD Mutants in Cancer","ZFYVE9,TGFBR2"
"REACTOME_PATHWAY","Diseases of signal transduction by growth factor receptors and second messengers","11","146","453","10908","7.97e-2","1.00e+0","1.81","1.00e+0","1.00e+0","4.06e-2","R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers","NCBP2,POLR2B,ZFYVE9,ITGB3,POLR2D,FN1,PEBP1,ERLIN2,POLR2H,EGFR,TGFBR2"
"REACTOME_PATHWAY","Axon guidance","12","146","514","10908","8.06e-2","1.00e+0","1.74","1.00e+0","1.00e+0","4.29e-2","R-HSA-422475~Axon guidance","TRPC7,TRPC5,TUBAL3,NCBP2,ITGB3,CUL2,PITPNA,RPL23A,SLIT2,RPL28,EGFR,DNM2"
"REACTOME_PATHWAY","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","5","146","123","10908","8.13e-2","1.00e+0","3.04","1.00e+0","1.00e+0","2.46e-2","R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","BMP4,FN1,PLG,APOA5,KTN1"
"REACTOME_PATHWAY","Signaling by high-kinase activity BRAF mutants","3","146","36","10908","8.25e-2","1.00e+0","6.23","1.00e+0","1.00e+0","1.21e-2","R-HSA-6802948~Signaling by high-kinase activity BRAF mutants","ITGB3,FN1,PEBP1"
"REACTOME_PATHWAY","Translation","9","146","339","10908","8.25e-2","1.00e+0","1.98","1.00e+0","1.00e+0","3.84e-2","R-HSA-72766~Translation","GFM2,CUL2,RPN1,RPL23A,MRPL15,MIEF1,YARS1,MTRF1L,RPL28"
"GOTERM_BP_DIRECT","biological process involved in interaction with symbiont","2","234","6","16251","8.30e-2","1.00e+0","23.15","1.00e+0","1.00e+0","2.98e-3","GO:0051702~biological process involved in interaction with symbiont","FN1,PLG"
"GOTERM_BP_DIRECT","mitochondrial RNA processing","2","234","6","16251","8.30e-2","1.00e+0","23.15","1.00e+0","1.00e+0","2.98e-3","GO:0000963~mitochondrial RNA processing","FASTKD1,FASTKD5"
"GOTERM_BP_DIRECT","cell-substrate junction assembly","2","234","6","16251","8.30e-2","1.00e+0","23.15","1.00e+0","1.00e+0","2.98e-3","GO:0007044~cell-substrate junction assembly","ITGB3,FN1"
"REACTOME_PATHWAY","Platelet degranulation","5","146","124","10908","8.32e-2","1.00e+0","3.01","1.00e+0","1.00e+0","2.54e-2","R-HSA-114608~Platelet degranulation","ITGB3,FN1,PLG,FAM3C,ORM2"
"REACTOME_PATHWAY","mRNA Polyadenylation","5","146","126","10908","8.70e-2","1.00e+0","2.96","1.00e+0","1.00e+0","2.70e-2","R-HSA-9770562~mRNA Polyadenylation","NCBP2,POLR2B,CPSF3,POLR2D,POLR2H"
"REACTOME_PATHWAY","Estrogen-dependent gene expression","5","146","127","10908","8.90e-2","1.00e+0","2.94","1.00e+0","1.00e+0","2.78e-2","R-HSA-9018519~Estrogen-dependent gene expression","H2AZ1,CITED1,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Loss of Function of TGFBR1 in Cancer","2","146","7","10908","8.94e-2","1.00e+0","21.35","1.00e+0","1.00e+0","3.58e-3","R-HSA-3656534~Loss of Function of TGFBR1 in Cancer","ZFYVE9,TGFBR2"
"REACTOME_PATHWAY","Loss of Function of SMAD2/3 in Cancer","2","146","7","10908","8.94e-2","1.00e+0","21.35","1.00e+0","1.00e+0","3.58e-3","R-HSA-3304349~Loss of Function of SMAD2/3 in Cancer","ZFYVE9,TGFBR2"
"GOTERM_BP_DIRECT","tRNA modification","3","234","35","16251","8.95e-2","1.00e+0","5.95","1.00e+0","1.00e+0","1.37e-2","GO:0006400~tRNA modification","QTRT1,TRUB1,QTGAL"
"GOTERM_BP_DIRECT","mitochondrial respiratory chain complex I assembly","3","234","35","16251","8.95e-2","1.00e+0","5.95","1.00e+0","1.00e+0","1.37e-2","GO:0032981~mitochondrial respiratory chain complex I assembly","NDUFS8,DMAC2,MIEF1"
"REACTOME_PATHWAY","RNA Polymerase II Pre-transcription Events","4","146","80","10908","9.04e-2","1.00e+0","3.74","1.00e+0","1.00e+0","2.22e-2","R-HSA-674695~RNA Polymerase II Pre-transcription Events","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","3","146","38","10908","9.05e-2","1.00e+0","5.90","1.00e+0","1.00e+0","1.41e-2","R-HSA-8950505~Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","PITPNA,LCP1,LMNB1"
"REACTOME_PATHWAY","Response to elevated platelet cytosolic Ca2+","5","146","129","10908","9.29e-2","1.00e+0","2.90","1.00e+0","1.00e+0","2.95e-2","R-HSA-76005~Response to elevated platelet cytosolic Ca2+","ITGB3,FN1,PLG,FAM3C,ORM2"
"REACTOME_PATHWAY","Signaling by Receptor Tyrosine Kinases","12","146","529","10908","9.41e-2","1.00e+0","1.69","1.00e+0","1.00e+0","5.13e-2","R-HSA-9006934~Signaling by Receptor Tyrosine Kinases","TPH1,NCBP2,POLR2B,ITGB3,TNK2,POLR2D,RAPGEF1,FN1,PLG,POLR2H,EGFR,DNM2"
"GOTERM_BP_DIRECT","actin filament-based process","2","234","7","16251","9.62e-2","1.00e+0","19.84","1.00e+0","1.00e+0","4.13e-3","GO:0030029~actin filament-based process","SCIN,WIPF1"
"GOTERM_BP_DIRECT","trachea formation","2","234","7","16251","9.62e-2","1.00e+0","19.84","1.00e+0","1.00e+0","4.13e-3","GO:0060440~trachea formation","BMP4,TGFBR2"
"GOTERM_BP_DIRECT","regulation of mitochondrial mRNA stability","2","234","7","16251","9.62e-2","1.00e+0","19.84","1.00e+0","1.00e+0","4.13e-3","GO:0044528~regulation of mitochondrial mRNA stability","FASTKD1,FASTKD5"
"REACTOME_PATHWAY","Transcriptional regulation of white adipocyte differentiation","4","146","83","10908","9.83e-2","1.00e+0","3.60","1.00e+0","1.00e+0","2.51e-2","R-HSA-381340~Transcriptional regulation of white adipocyte differentiation","MED11,FAM120B,ZNF638,SLC2A4"
"GOTERM_BP_DIRECT","aortic valve morphogenesis","3","234","37","16251","9.83e-2","1.00e+0","5.63","1.00e+0","1.00e+0","1.60e-2","GO:0003180~aortic valve morphogenesis","BMP4,SLIT2,TGFBR2"
"REACTOME_PATHWAY","MAP2K and MAPK activation","3","146","40","10908","9.87e-2","1.00e+0","5.60","1.00e+0","1.00e+0","1.62e-2","R-HSA-5674135~MAP2K and MAPK activation","ITGB3,FN1,PEBP1"

