Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
GOTERM_BP_DIRECT,transcription initiation at RNA polymerase II promoter,4,234,59,16251,0.0526,1.0,4.71,1.0,1.0,0.0103,GO:0006367~transcription initiation at RNA polymerase II promoter,"TAF6L,POLR2B,POLR2D,POLR2H",,-0.0
GOTERM_BP_DIRECT,negative regulation of lipid transport,2,234,4,16251,0.0561,1.0,34.72,1.0,1.0,0.00122,GO:0032369~negative regulation of lipid transport,"ITGB3,NR1H3",,-0.0
GOTERM_BP_DIRECT,positive regulation of fibrinolysis,2,234,4,16251,0.0561,1.0,34.72,1.0,1.0,0.00122,GO:0051919~positive regulation of fibrinolysis,"F11,PLG",,-0.0
GOTERM_BP_DIRECT,tRNA wobble guanine modification,2,234,4,16251,0.0561,1.0,34.72,1.0,1.0,0.00122,GO:0002099~tRNA wobble guanine modification,"QTRT1,QTGAL",,-0.0
REACTOME_PATHWAY,PIWI-interacting RNA (piRNA) biogenesis,3,146,29,10908,0.0564,1.0,7.73,1.0,1.0,0.00665,R-HSA-5601884~PIWI-interacting RNA (piRNA) biogenesis,"POLR2B,POLR2D,POLR2H",Protein & RNA homeostasis,-0.0
GOTERM_BP_DIRECT,microtubule nucleation,3,234,28,16251,0.0606,1.0,7.44,1.0,1.0,0.0074,GO:0007020~microtubule nucleation,"NEDD1,TPX2,CCDC66",,-0.0
GOTERM_BP_DIRECT,transforming growth factor beta receptor signaling pathway,5,234,103,16251,0.0608,1.0,3.37,1.0,1.0,0.0166,GO:0007179~transforming growth factor beta receptor signaling pathway,"CITED1,ZFYVE9,LTBP2,NODAL,TGFBR2",,-0.0
GOTERM_BP_DIRECT,positive regulation of ERK1 and ERK2 cascade,7,234,195,16251,0.0622,1.0,2.49,1.0,1.0,0.023,GO:0070374~positive regulation of ERK1 and ERK2 cascade,"NECAB2,BMP4,ITGB3,TPBG,RAPGEF1,EGFR,NODAL",,-0.0
REACTOME_PATHWAY,Tat-mediated HIV elongation arrest and recovery,3,146,31,10908,0.0635,1.0,7.23,1.0,1.0,0.00803,R-HSA-167243~Tat-mediated HIV elongation arrest and recovery,"POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,-0.0
REACTOME_PATHWAY,Pausing and recovery of Tat-mediated HIV elongation,3,146,31,10908,0.0635,1.0,7.23,1.0,1.0,0.00803,R-HSA-167238~Pausing and recovery of Tat-mediated HIV elongation,"POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,-0.0
REACTOME_PATHWAY,Transcription of the HIV genome,4,146,69,10908,0.0639,1.0,4.33,1.0,1.0,0.0136,R-HSA-167172~Transcription of the HIV genome,"NCBP2,POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,-0.0
GOTERM_BP_DIRECT,embryonic cranial skeleton morphogenesis,3,234,29,16251,0.0645,1.0,7.18,1.0,1.0,0.00817,GO:0048701~embryonic cranial skeleton morphogenesis,"BMP4,NODAL,TGFBR2",,-0.0
GOTERM_BP_DIRECT,mitochondrial translational termination,2,234,5,16251,0.0697,1.0,27.78,1.0,1.0,0.00201,GO:0070126~mitochondrial translational termination,"GFM2,MTRF1L",,-0.0
REACTOME_PATHWAY,RNA polymerase II transcribes snRNA genes,4,146,72,10908,0.0707,1.0,4.15,1.0,1.0,0.0157,R-HSA-6807505~RNA polymerase II transcribes snRNA genes,"NCBP2,POLR2B,POLR2D,POLR2H",Protein & RNA homeostasis,-0.0
REACTOME_PATHWAY,Signaling by Nuclear Receptors,8,146,272,10908,0.0707,1.0,2.2,1.0,1.0,0.0297,R-HSA-9006931~Signaling by Nuclear Receptors,"H2AZ1,CITED1,POLR2B,POLR2D,PDK4,NR1H3,POLR2H,EGFR",,-0.0
REACTOME_PATHWAY,HIV elongation arrest and recovery,3,146,33,10908,0.0709,1.0,6.79,1.0,1.0,0.00955,R-HSA-167287~HIV elongation arrest and recovery,"POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,-0.0
REACTOME_PATHWAY,Pausing and recovery of HIV elongation,3,146,33,10908,0.0709,1.0,6.79,1.0,1.0,0.00955,R-HSA-167290~Pausing and recovery of HIV elongation,"POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,-0.0
REACTOME_PATHWAY,Signaling by FGFR2,4,146,73,10908,0.0731,1.0,4.09,1.0,1.0,0.0164,R-HSA-5654738~Signaling by FGFR2,"NCBP2,POLR2B,POLR2D,POLR2H",,-0.0
REACTOME_PATHWAY,SMAD2/3 Phosphorylation Motif Mutants in Cancer,2,146,6,10908,0.0772,1.0,24.9,1.0,1.0,0.00258,R-HSA-3304356~SMAD2/3 Phosphorylation Motif Mutants in Cancer,"ZFYVE9,TGFBR2",,-0.0
REACTOME_PATHWAY,TGFBR1 KD Mutants in Cancer,2,146,6,10908,0.0772,1.0,24.9,1.0,1.0,0.00258,R-HSA-3656532~TGFBR1 KD Mutants in Cancer,"ZFYVE9,TGFBR2",,-0.0
REACTOME_PATHWAY,Diseases of signal transduction by growth factor receptors and second messengers,11,146,453,10908,0.0797,1.0,1.81,1.0,1.0,0.0406,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,"NCBP2,POLR2B,ZFYVE9,ITGB3,POLR2D,FN1,PEBP1,ERLIN2,POLR2H,EGFR,TGFBR2",Cell signaling,-0.0
REACTOME_PATHWAY,Axon guidance,12,146,514,10908,0.0806,1.0,1.74,1.0,1.0,0.0429,R-HSA-422475~Axon guidance,"TRPC7,TRPC5,TUBAL3,NCBP2,ITGB3,CUL2,PITPNA,RPL23A,SLIT2,RPL28,EGFR,DNM2",Cytoskeleton & Rho GTPase signaling,-0.0
REACTOME_PATHWAY,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),5,146,123,10908,0.0813,1.0,3.04,1.0,1.0,0.0246,R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),"BMP4,FN1,PLG,APOA5,KTN1",,-0.0
REACTOME_PATHWAY,Signaling by high-kinase activity BRAF mutants,3,146,36,10908,0.0825,1.0,6.23,1.0,1.0,0.0121,R-HSA-6802948~Signaling by high-kinase activity BRAF mutants,"ITGB3,FN1,PEBP1",,-0.0
REACTOME_PATHWAY,Translation,9,146,339,10908,0.0825,1.0,1.98,1.0,1.0,0.0384,R-HSA-72766~Translation,"GFM2,CUL2,RPN1,RPL23A,MRPL15,MIEF1,YARS1,MTRF1L,RPL28",Protein & RNA homeostasis,-0.0
GOTERM_BP_DIRECT,biological process involved in interaction with symbiont,2,234,6,16251,0.083,1.0,23.15,1.0,1.0,0.00298,GO:0051702~biological process involved in interaction with symbiont,"FN1,PLG",,-0.0
GOTERM_BP_DIRECT,mitochondrial RNA processing,2,234,6,16251,0.083,1.0,23.15,1.0,1.0,0.00298,GO:0000963~mitochondrial RNA processing,"FASTKD1,FASTKD5",,-0.0
GOTERM_BP_DIRECT,cell-substrate junction assembly,2,234,6,16251,0.083,1.0,23.15,1.0,1.0,0.00298,GO:0007044~cell-substrate junction assembly,"ITGB3,FN1",,-0.0
REACTOME_PATHWAY,Platelet degranulation,5,146,124,10908,0.0832,1.0,3.01,1.0,1.0,0.0254,R-HSA-114608~Platelet degranulation,"ITGB3,FN1,PLG,FAM3C,ORM2",,-0.0
REACTOME_PATHWAY,mRNA Polyadenylation,5,146,126,10908,0.087,1.0,2.96,1.0,1.0,0.027,R-HSA-9770562~mRNA Polyadenylation,"NCBP2,POLR2B,CPSF3,POLR2D,POLR2H",Protein & RNA homeostasis,-0.0
REACTOME_PATHWAY,Estrogen-dependent gene expression,5,146,127,10908,0.089,1.0,2.94,1.0,1.0,0.0278,R-HSA-9018519~Estrogen-dependent gene expression,"H2AZ1,CITED1,POLR2B,POLR2D,POLR2H",Cell signaling,-0.0
REACTOME_PATHWAY,Loss of Function of TGFBR1 in Cancer,2,146,7,10908,0.0894,1.0,21.35,1.0,1.0,0.00358,R-HSA-3656534~Loss of Function of TGFBR1 in Cancer,"ZFYVE9,TGFBR2",,-0.0
